uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,date
AC,1,1,0,0,0,0,3,8,12,17.024999999999864,2023-10-08
AC,2,1,0,0,0,0,4,9,14,24,2023-10-15
AC,3,2,0,0,0,0,4,9,15,24,2023-10-22
AC,4,2,0,0,0,0,5,10,16,26,2023-10-29
AC,5,2,0,0,0,0,5,11,19.049999999999955,29,2023-11-05
AC,6,2,0,0,0,0,5,12,20,31.049999999999727,2023-11-12
AC,7,2,0,0,0,0,5,12,20,29,2023-11-19
AC,8,2,0,0,0,0,5,12,20,29.024999999999864,2023-11-26
AC,9,2,0,0,0,0,5,12,19,28,2023-12-03
AC,10,2,0,0,0,0,6,13,20,31,2023-12-10
AC,11,2,0,0,0,0,6,13,21,32,2023-12-17
AC,12,2,0,0,0,0,7,14,22,34,2023-12-24
AC,13,2,0,0,0,1,7,15,25,38.024999999999864,2023-12-31
AC,14,3,0,0,0,1,7.25,17,26,39.024999999999864,2024-01-07
AC,15,3,0,0,0,1,8,19,31,46,2024-01-14
AC,16,4,0,0,0,1,8,20,32,47,2024-01-21
AC,17,3,0,0,0,1,9,20,34.049999999999955,53,2024-01-28
AC,18,4,0,0,0,1,11,23,37,58.024999999999864,2024-02-04
AC,19,4,0,0,0,1,10,23,39,61.024999999999864,2024-02-11
AC,20,4,0,0,0,1,11,23,38.049999999999955,58.04999999999973,2024-02-18
AC,21,4,0,0,0,1,10,21,34,47,2024-02-25
AC,22,4,0,0,0,1,10,21,30.049999999999955,50.04999999999973,2024-03-03
AC,23,3,0,0,0,1,9,19,30.049999999999955,43.024999999999864,2024-03-10
AC,24,3,0,0,0,1,8,17,29,39.024999999999864,2024-03-17
AC,25,3,0,0,0,1,7,15.100000000000136,24,36.024999999999864,2024-03-24
AC,26,2,0,0,0,0,7,15,24,32.024999999999864,2024-03-31
AC,27,2,0,0,0,0,5,12,20,33,2024-04-07
AC,28,2,0,0,0,0,5,11,17.049999999999955,25,2024-04-14
AC,29,2,0,0,0,0,5,11,17,26,2024-04-21
AC,30,1,0,0,0,0,4,9,13.049999999999955,21,2024-04-28
AC,31,1,0,0,0,0,4,7,13,19.024999999999864,2024-05-05
AC,32,1,0,0,0,0,4,8,12,20,2024-05-12
AC,33,1,0,0,0,0,3,7.100000000000136,12,17,2024-05-19
AC,34,1,0,0,0,0,3,7,11,16,2024-05-26
AC,35,1,0,0,0,0,3,7,11,16,2024-06-02
AC,36,1,0,0,0,0,3,6,10,14,2024-06-09
AC,37,1,0,0,0,0,3,6,9,14,2024-06-16
AC,38,1,0,0,0,0,2,5,8,12,2024-06-23
AC,39,1,0,0,0,0,2,5,9,14,2024-06-30
AC,40,1,0,0,0,0,2,5,8.049999999999955,13,2024-07-07
AC,41,1,0,0,0,0,2,5,8,11,2024-07-14
AC,42,1,0,0,0,0,2,4,7,11,2024-07-21
AC,43,1,0,0,0,0,2,5,8,12,2024-07-28
AC,44,1,0,0,0,0,2,5,8,11,2024-08-04
AC,45,1,0,0,0,0,2,4,7,11,2024-08-11
AC,46,1,0,0,0,0,2,4,7,11.024999999999864,2024-08-18
AC,47,1,0,0,0,0,2,5,7,10,2024-08-25
AC,48,1,0,0,0,0,2,5,8,12,2024-09-01
AC,49,1,0,0,0,0,2,5,8,13.024999999999864,2024-09-08
AC,50,1,0,0,0,0,2,6,8.049999999999955,12,2024-09-15
AC,51,1,0,0,0,0,3,6,10,15,2024-09-22
AC,52,1,0,0,0,0,3,7,11,15,2024-09-29
AL,1,20,0,1,2,6,62.25,178,320.1999999999998,825.3999999999924,2023-10-08
AL,2,19,0,1,2,6,54,157,312.0999999999999,560.2749999999985,2023-10-15
AL,3,18,0,1,2,6,53,154.10000000000014,337.4499999999996,584.0749999999996,2023-10-22
