uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,date
AC,1,1,0,0,0,0,4,7,11,15,2025-10-05
AC,2,2,0,0,0,0,4,9,14,20,2025-10-12
AC,3,2,0,0,0,0,4,9,14,18,2025-10-19
AC,4,2,0,0,0,0,5,10,14,21,2025-10-26
AC,5,2,0,0,0,0,5,10,16,22.024999999999864,2025-11-02
AC,6,2,0,0,0,0,5,11,17,24,2025-11-09
AC,7,2,0,0,0,0,5,10,15,22,2025-11-16
AC,8,2,0,0,0,0,5,12,17,24.024999999999864,2025-11-23
AC,9,2,0,0,0,1,6,12,18,28,2025-11-30
AC,10,3,0,0,0,1,6,13,19,27,2025-12-07
AC,11,3,0,0,0,1,7,13.100000000000136,20,28,2025-12-14
AC,12,3,0,0,0,1,7,15,22,29,2025-12-21
AC,13,3,0,0,0,1,7,16,24,35.024999999999864,2025-12-28
AC,14,3,0,0,0,1,8,16,25,35,2026-01-04
AC,15,4,0,0,0,1,9,18,29,38.024999999999864,2026-01-11
AC,16,4,0,0,0,1,9,21,32,47.024999999999864,2026-01-18
AC,17,4,0,0,0,1,10,20,29,49,2026-01-25
AC,18,4,0,0,0,1,10,20,32.049999999999955,48.04999999999973,2026-02-01
AC,19,4,0,0,0,1,11,23,34,46.04999999999973,2026-02-08
AC,20,4,0,0,0,1,11,22,33,49.04999999999973,2026-02-15
AC,21,5,0,0,0,2,11,23,36.049999999999955,54,2026-02-22
AC,22,4,0,0,0,1,11,22,35.049999999999955,50,2026-03-01
AC,23,4,0,0,0,1,10,21,33,50.024999999999864,2026-03-08
AC,24,4,0,0,0,1,9,19,27,37,2026-03-15
AC,25,3,0,0,0,1,8,16.100000000000136,25,35,2026-03-22
AC,26,3,0,0,0,1,7,15,22,27.024999999999864,2026-03-29
AC,27,2,0,0,0,1,6,13,20,29,2026-04-05
AC,28,2,0,0,0,1,6,12,18,26.024999999999864,2026-04-12
AC,29,2,0,0,0,0,5,10,17,23,2026-04-19
AC,30,2,0,0,0,0,4,9,14,21,2026-04-26
AC,31,2,0,0,0,0,4,9,14,19,2026-05-03
AC,32,2,0,0,0,0,4,8,13,18,2026-05-10
AC,33,1,0,0,0,0,4,8,11.049999999999955,18,2026-05-17
AC,34,2,0,0,0,0,4,8,12,17.024999999999864,2026-05-24
AC,35,1,0,0,0,0,4,8,12,18,2026-05-31
AC,36,1,0,0,0,0,4,7,12,16,2026-06-07
AC,37,1,0,0,0,0,4,7,11,15,2026-06-14
AC,38,1,0,0,0,0,3,7,10,15,2026-06-21
AC,39,3,0,0,0,1,8,17,27,37,2026-06-28
AC,40,4,0,0,0,1,9,20,30,45,2026-07-05
AC,41,4,0,0,0,1,9,20,33,50.024999999999864,2026-07-12
AC,42,4,0,0,0,1,10,19,33,44.024999999999864,2026-07-19
AC,43,4,0,0,0,1,11,23,35,51,2026-07-26
AC,44,5,0,0,0,1,11,23,35,51,2026-08-02
AC,45,4,0,0,0,1,11,23,33,45.024999999999864,2026-08-09
AC,46,4,0,0,0,1,12,24,38,51.024999999999864,2026-08-16
AC,47,4,0,0,0,1,10,21,29,40.024999999999864,2026-08-23
AC,48,4,0,0,0,1,10,21,32,44,2026-08-30
AC,49,4,0,0,0,1,9,19,29.049999999999955,39,2026-09-06
AC,50,3,0,0,0,1,8,18,27,37,2026-09-13
AC,51,3,0,0,0,1,7,15,24,37,2026-09-20
AC,52,3,0,0,0,1,7,14,22,31,2026-09-27
AL,1,15,0,1,2,5,44,121,219.0999999999999,382.0499999999997,2025-10-05
AL,2,14,0,1,1,5,39,106,202,360.17499999999905,2025-10-12
AL,3,14,0,1,1,4,37,95,178.0999999999999,356.1249999999993,2025-10-19
AL,4,13,0,0,1,4,34,89,160.04999999999995,291.0499999999997,2025-10-26
AL,5,11,0,0,1,4,32,84.10000000000014,153.0999999999999,268.17499999999905,2025-11-02
AL,6,11,0,0,1,4,30.25,77,145.04999999999995,285,2025-11-09
AL,7,9,0,0,1,3,26,71,140.04999999999995,253.549999999997,2025-11-16
AL,8,9,0,0,1,3,26,62,108.04999999999995,202.0749999999996,2025-11-23
AL,9,8,0,0,1,3,24,67,132,245.09999999999945,2025-11-30
AL,10,8,0,0,1,3,23,56.100000000000136,108.04999999999995,179.04999999999973,2025-12-07
AL,11,8,0,0,1,2.75,23,59.100000000000136,117,229.04999999999973,2025-12-14
AL,12,8,0,0,1,2,22,61,114.09999999999991,210.04999999999973,2025-12-21
AL,13,8,0,0,1,2,22,55,104,154,2025-12-28
AL,14,8,0,0,1,2,22,55,103.04999999999995,217.0749999999996,2026-01-04
AL,15,8,0,0,1,2,22.25,57.100000000000136,115.09999999999991,221.04999999999973,2026-01-11
AL,16,8,0,0,1,3,24,59,116.04999999999995,203,2026-01-18
AL,17,9,0,0,1,3,25,58,106,179.17499999999905,2026-01-25
AL,18,9,0,0,1,3,25,68.10000000000014,123.09999999999991,219.04999999999973,2026-02-01
AL,19,9,0,0,1,3,26,65,131,254.14999999999918,2026-02-08
AL,20,10,0,0,1,3,29,72,143.04999999999995,267,2026-02-15
AL,21,11,0,0,1,4,30,80.10000000000014,161.04999999999995,316.09999999999945,2026-02-22
AL,22,12,0,0,1,4,34.25,91,180,282.1499999999992,2026-03-01
AL,23,12,0,0,1,4,36,87,151.04999999999995,265.09999999999945,2026-03-08
AL,24,13,0,0,1,4,37,93.10000000000014,195,332,2026-03-15
AL,25,14,0,1,1,5,39,101,171.04999999999995,330.0749999999996,2026-03-22
AL,26,15,0,1,2,5,43,112,191.14999999999986,409.0749999999996,2026-03-29
AL,27,16,0,1,1,5,48,123.10000000000014,257.3499999999997,453.3249999999982,2026-04-05
AL,28,17,0,1,2,6,50,132,253.19999999999982,425.0499999999997,2026-04-12
AL,29,21,0,1,2,7,55,158.10000000000014,265.04999999999995,504.0749999999996,2026-04-19
AL,30,23,0,1,2,8,64,166,310.39999999999964,578.1499999999992,2026-04-26
AL,31,23,0,1,3,8,65,169.10000000000014,343.2499999999998,651,2026-05-03
AL,32,25,0,1,3,8,72,191,354.1999999999998,667.174999999999,2026-05-10
AL,33,27,0,1,3,9,73,196.20000000000027,366.1999999999998,630.0749999999996,2026-05-17
AL,34,30,1,2,3,10,82,214,405.04999999999995,772.374999999998,2026-05-24
AL,35,32,1,2,4,10.75,91.25,213.40000000000055,407.0999999999999,787.2249999999988,2026-05-31
AL,36,30,1,2,4,11,84,225.40000000000055,399.1999999999998,854.1499999999992,2026-06-07
AL,37,34,1,2,4,11.75,93,250,479,860.4499999999975,2026-06-14
AL,38,35,1,2,4,12,97,252,427,849.5999999999967,2026-06-21
AL,39,8,0,0,1,3,23,59,105.04999999999995,171.09999999999945,2026-06-28
AL,40,8,0,0,1,3,23,59.100000000000136,115.04999999999995,191,2026-07-05
AL,41,9,0,0,1,3,24,61.100000000000136,116,199.0749999999996,2026-07-12
AL,42,9,0,0,1,3,25,65,111,212.04999999999973,2026-07-19
AL,43,9,0,0,1,3,25,73.10000000000014,136.04999999999995,238.09999999999945,2026-07-26
AL,44,10,0,0,1,3,26.25,67,135,219.04999999999973,2026-08-02
AL,45,10,0,0,1,3,29,77.10000000000014,129.04999999999995,238.02499999999986,2026-08-09
AL,46,11,0,0,1,4,33,88,173.04999999999995,281.2249999999988,2026-08-16
AL,47,11,0,0,1,4,31,83,179.04999999999995,279.1499999999992,2026-08-23
AL,48,13,0,0,1,4,36,91,174.04999999999995,290.0499999999997,2026-08-30
AL,49,12,0,0,1,4,39,96.30000000000041,181.0999999999999,310.1499999999992,2026-09-06
AL,50,14,0,0,1,5,42,108,199.04999999999995,362.17499999999905,2026-09-13
AL,51,15,0,1,1,5,47,123.20000000000027,219.14999999999986,359.0749999999996,2026-09-20
AL,52,16,0,1,2,5,46,133.10000000000014,246.19999999999982,419.1499999999992,2026-09-27
AM,1,2,0,0,0,0,3,7,9,13.024999999999864,2025-10-05
AM,2,2,0,0,0,0,4,7,10,15,2025-10-12
AM,3,2,0,0,0,0,3,7,10,15,2025-10-19
AM,4,2,0,0,0,1,3,7,10,15,2025-10-26
AM,5,2,0,0,0,1,4,7,10,14.024999999999864,2025-11-02
AM,6,2,0,0,0,1,4,7,11,15,2025-11-09
AM,7,2,0,0,0,0,4,7,10.049999999999955,15.024999999999864,2025-11-16
AM,8,2,0,0,0,1,4,8,12,17.024999999999864,2025-11-23
AM,9,2,0,0,0,1,4,7,11,16,2025-11-30
AM,10,2,0,0,0,1,4,8,12,17,2025-12-07
AM,11,2,0,0,0,1,4,8,11.049999999999955,16,2025-12-14
AM,12,2,0,0,0,1,5,9,13,18,2025-12-21
AM,13,2,0,0,0,1,4,8,12,18,2025-12-28
AM,14,3,0,0,0,1,5,10,14,20.024999999999864,2026-01-04
AM,15,3,0,0,0,1,5,10,14,19.024999999999864,2026-01-11
AM,16,3,0,0,0,1,6,12,17,22.024999999999864,2026-01-18
AM,17,3,0,0,0,1,7,11,17,24,2026-01-25
AM,18,3,0,0,0,1,6,12,17,24,2026-02-01
AM,19,4,0,0,0,2,7,13,20,27,2026-02-08
AM,20,4,0,0,0,2,7,14,21,30,2026-02-15
AM,21,4,0,0,1,2,8,15,22.049999999999955,34,2026-02-22
AM,22,4,0,0,1,2,8,15,23,31,2026-03-01
AM,23,4,0,0,1,2,8,15,22,33,2026-03-08
AM,24,4,0,0,1,2,8,15,22,32,2026-03-15
AM,25,4,0,0,1,2,8,16,25,37,2026-03-22
AM,26,4,0,0,1,2,8,16,24,36,2026-03-29
AM,27,4,0,0,1,2,9,16,25,36,2026-04-05
AM,28,4,0,0,1,2,9,16,25,37,2026-04-12
AM,29,4,0,0,1,2,8,16,26,36,2026-04-19
AM,30,4,0,0,1,2,8,16,23,34,2026-04-26
AM,31,4,0,0,1,2,8,16,23.049999999999955,36,2026-05-03
AM,32,4,0,0,1,2,8,15,23,34.024999999999864,2026-05-10
AM,33,4,0,0,1,2,8,14,22,33.024999999999864,2026-05-17
AM,34,4,0,0,0,2,7.25,14.100000000000136,22,33,2026-05-24
AM,35,3,0,0,0,1,7,13,20,29,2026-05-31
AM,36,3,0,0,0,1,7,13,20,30.024999999999864,2026-06-07
AM,37,3,0,0,0,1,7,14,21,31,2026-06-14
AM,38,3,0,0,0,1,6,12,18,25.024999999999864,2026-06-21
AM,39,2,0,0,0,1,5,9,14,21,2026-06-28
AM,40,3,0,0,0,1,5,10,16,24,2026-07-05
AM,41,3,0,0,0,1,6,11,17.049999999999955,26.024999999999864,2026-07-12
AM,42,3,0,0,0,1,6,12,18,27,2026-07-19
AM,43,3,0,0,0,1,6,13,19,29,2026-07-26
AM,44,3,0,0,0,1,7,13,21,28,2026-08-02
AM,45,4,0,0,0,2,7,14,22,32.024999999999864,2026-08-09
AM,46,4,0,0,0,2,8,14,21,32,2026-08-16
AM,47,4,0,0,0,2,8,15,23,33,2026-08-23
AM,48,4,0,0,1,2,8,16,22.049999999999955,31,2026-08-30
AM,49,4,0,0,1,2,8,16,25,38.024999999999864,2026-09-06
AM,50,4,0,0,1,2,8,16,25,36.024999999999864,2026-09-13
AM,51,4,0,0,1,2,9,17,25.049999999999955,39,2026-09-20
AM,52,4,0,0,1,2,9,17,24,37,2026-09-27
AP,1,1,0,0,0,0,3,6,10,15.024999999999864,2025-10-05
AP,2,1,0,0,0,0,2,6,9,14,2025-10-12
AP,3,1,0,0,0,0,2,5,9,13,2025-10-19
AP,4,1,0,0,0,0,2,5,9,13.024999999999864,2025-10-26
AP,5,1,0,0,0,0,2,5,8,13,2025-11-02
AP,6,1,0,0,0,0,2,5,8,12,2025-11-09
AP,7,1,0,0,0,0,2,4,7,11,2025-11-16
AP,8,1,0,0,0,0,2,4,7,10.024999999999864,2025-11-23
AP,9,1,0,0,0,0,2,4,7,12,2025-11-30
AP,10,1,0,0,0,0,2,4,7,12,2025-12-07
AP,11,1,0,0,0,0,2,4,8,11,2025-12-14
AP,12,1,0,0,0,0,2,5,8,14,2025-12-21
AP,13,1,0,0,0,0,2,5,9,14,2025-12-28
AP,14,1,0,0,0,0,3,6,10,16,2026-01-04
AP,15,1,0,0,0,0,3,7,11.049999999999955,19,2026-01-11
AP,16,1,0,0,0,0,3,8,13,20,2026-01-18
AP,17,1,0,0,0,0,4,9,16,24,2026-01-25
AP,18,2,0,0,0,0,5,10,17,28,2026-02-01
AP,19,2,0,0,0,0,5,12,19,30.024999999999864,2026-02-08
AP,20,2,0,0,0,0,5.25,13,21,33.024999999999864,2026-02-15
AP,21,2,0,0,0,1,6,13.100000000000136,24,38,2026-02-22
AP,22,2,0,0,0,1,6,14,23.049999999999955,36.024999999999864,2026-03-01
AP,23,2,0,0,0,1,6,14,25,43,2026-03-08
AP,24,2,0,0,0,1,6,14,25,37.024999999999864,2026-03-15
AP,25,2,0,0,0,0.75,6,13.100000000000136,23,32.024999999999864,2026-03-22
AP,26,2,0,0,0,0,6,13,21,32,2026-03-29
AP,27,2,0,0,0,0,6,13,22,35,2026-04-05
AP,28,2,0,0,0,0,6,13,21,31.024999999999864,2026-04-12
AP,29,2,0,0,0,1,5,12,20,35,2026-04-19
AP,30,2,0,0,0,0,5,11,20,30.024999999999864,2026-04-26
AP,31,2,0,0,0,0,5,12,19,32.024999999999864,2026-05-03
AP,32,2,0,0,0,0,5,10,17.049999999999955,30,2026-05-10
AP,33,2,0,0,0,0,4,11,17,28.024999999999864,2026-05-17
AP,34,1,0,0,0,0,4,9,16.049999999999955,26,2026-05-24
AP,35,1,0,0,0,0,4,9,15,25,2026-05-31
AP,36,1,0,0,0,0,3,8,13.049999999999955,22,2026-06-07
AP,37,1,0,0,0,0,4,9,14,21,2026-06-14
AP,38,1,0,0,0,0,4,8,13,22,2026-06-21
AP,39,1,0,0,0,0,2,6,9,17,2026-06-28
AP,40,1,0,0,0,0,3,7,12,19.024999999999864,2026-07-05
AP,41,1,0,0,0,0,3,8,15,26,2026-07-12
AP,42,1,0,0,0,0,4,10,17,28,2026-07-19
AP,43,1,0,0,0,0,4,11,18,34.04999999999973,2026-07-26
AP,44,2,0,0,0,0,5,11,19,34.024999999999864,2026-08-02
AP,45,2,0,0,0,1,5,12,21.049999999999955,40,2026-08-09
AP,46,2,0,0,0,0.75,6,14,26,41,2026-08-16
AP,47,2,0,0,0,1,6,15,25,48.024999999999864,2026-08-23
AP,48,2,0,0,0,1,6,15,25.049999999999955,43.024999999999864,2026-08-30
AP,49,2,0,0,0,1,6,14,24,41.024999999999864,2026-09-06
AP,50,2,0,0,0,1,6,14,24,42.024999999999864,2026-09-13
AP,51,2,0,0,0,1,6,13,24,42,2026-09-20
AP,52,2,0,0,0,0,5,12,24,39.024999999999864,2026-09-27
BA,1,109,23,29.950000000000003,40,63,211.25,408,636.1999999999998,948.3249999999982,2025-10-05
BA,2,111,25,31,41,64,222,400.2000000000003,634.5999999999995,998.0749999999941,2025-10-12
BA,3,110.5,25,32,40,65,215.25,407,652.6499999999994,1065.6749999999963,2025-10-19
BA,4,112.5,25,31,41,66,217.25,410.2000000000003,646.0999999999999,1105.5249999999971,2025-10-26
BA,5,121,27,34,45,70.75,219,424.3000000000004,653.1499999999999,1067.0999999999995,2025-11-02
BA,6,118,26.975,32,45,71,224,431,693.05,1023.3249999999982,2025-11-09
BA,7,120.5,25,34,46,69.75,217,432.40000000000055,664.4499999999996,1041.0249999999999,2025-11-16
BA,8,121,28.975,35,46.900000000000006,72,222,407,652.3499999999997,1027.0249999999999,2025-11-23
BA,9,119,27.975,35,45,71,219.25,413,646.05,1087,2025-11-30
BA,10,121,27,34,45,71,232.25,456.10000000000014,700.1499999999999,1280.1249999999993,2025-12-07
BA,11,127,29,37,48,73,239.25,439.2000000000003,717.4499999999996,1182.374999999998,2025-12-14
BA,12,137,32,39,50,80,244,484,797.05,1359.099999999994,2025-12-21
BA,13,134,31,39,51,80,253,500.2000000000003,840,1434.174999999999,2025-12-28
