uf,week,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95,date
AC,1,48,5.975000000000001,8,13,24,90,161,233.04999999999995,353.09999999999945,2024-10-06
AC,2,54,6,9.950000000000003,15,27,102,185.10000000000014,259.04999999999995,358.17499999999905,2024-10-13
AC,3,64,7,11,16,32,117.25,213.10000000000014,316.04999999999995,432.0749999999996,2024-10-20
AC,4,75,9,13,20,36,142,254,364.0999999999999,511.0499999999997,2024-10-27
AC,5,88,10,15,22,44,171,307,457.3499999999997,597.0249999999999,2024-11-03
AC,6,102,11,18,26,50,192,343,487.4499999999996,718.0499999999997,2024-11-10
AC,7,117,15,21,32,61.75,219,387,547.0999999999999,759.1499999999992,2024-11-17
AC,8,133,16,22,34,66,256.5,434.2000000000003,618,815.2499999999986,2024-11-24
AC,9,137,15,24,37,73,262.25,475,706.099999999999,999.3999999999978,2024-12-01
AC,10,154,19,27,40,77,300,524.3000000000004,731.1999999999998,959.0999999999995,2024-12-08
AC,11,167,17,27,41,84,299,539.1000000000001,777.05,1147.0249999999999,2024-12-15
AC,12,179,18,28.950000000000003,45,89,333,610.1000000000001,873.0999999999999,1133.2749999999985,2024-12-22
AC,13,188,20,31,49,95.75,360,644.2000000000003,892.05,1284.0999999999995,2024-12-29
AC,14,208,26,35.95,56,106,391,692,1002.1999999999998,1502.6249999999966,2025-01-05
AC,15,211,28,41,59,113,405,712.2000000000003,1061.1499999999999,1478.724999999996,2025-01-12
AC,16,219.5,23,32,53.900000000000006,109.75,394.25,685.700000000001,1022.0999999999999,1359.0999999999995,2025-01-19
AC,17,220.5,25.975,37.95,59,110,408,754.1000000000001,1139.1999999999998,1486.0249999999999,2025-01-26
AC,18,207,25,36.95,56,103,382,702.3000000000004,989.4999999999995,1332.0249999999999,2025-02-02
AC,19,194,23,34,49,98,360.25,681.1000000000001,970,1287.1249999999993,2025-02-09
AC,20,173,21,31,46,90,328.25,584.2000000000003,863.2499999999998,1181.0749999999996,2025-02-16
AC,21,157,19,29,42,81,299.75,573,814.0999999999999,1137.2999999999984,2025-02-23
AC,22,146,18,26,38.900000000000006,74,277.25,489,659.2499999999998,905.3499999999981,2025-03-02
AC,23,129,14,21,35,66,248.25,437,636.05,877.3249999999982,2025-03-09
AC,24,113,12,18.950000000000003,30,58,217.25,422,560,749.0249999999999,2025-03-16
AC,25,104,11,16,27,51.75,193,362.10000000000014,489.1999999999998,654.1499999999992,2025-03-23
AC,26,90,9,14,23,45.75,173,317.10000000000014,475,666.174999999999,2025-03-30
AC,27,81,10,15,22,44,154,269,359.14999999999986,516.2499999999986,2025-04-06
AC,28,73,8,12,20,37,142,259.10000000000014,359.04999999999995,496.1499999999992,2025-04-13
AC,29,66,7,11,16,33,127,216.10000000000014,319.04999999999995,418.09999999999945,2025-04-20
AC,30,61,7,10,16,31,118,207,299.04999999999995,399.0749999999996,2025-04-27
AC,31,55,6,9,14,27,106,186.10000000000014,273,373.02499999999986,2025-05-04
AC,32,48,5,8,12,24.75,95,165,234,320.1499999999992,2025-05-11
AC,33,43,4,7,11,22,84,154,231.04999999999995,313,2025-05-18
AC,34,39,4,7,10,20,76,132.10000000000014,200,265,2025-05-25
AC,35,35,4,6,9,17,70,122,172,228.0749999999996,2025-06-01
AC,36,32,3,5,8,16,60,108,150,207.0749999999996,2025-06-08
AC,37,28,3,5,7,14,54,101,138.04999999999995,197.02499999999986,2025-06-15
AC,38,27,3,5,7,14,50,94,131,177.02499999999986,2025-06-22
AC,39,25,2,4,6,12,50,90,131.04999999999995,188.04999999999973,2025-06-29
AC,40,25,2,4,6,12,48,85.10000000000014,120,170.02499999999986,2025-07-06
AC,41,25,2,4,6,12,47,81.10000000000014,118.04999999999995,176,2025-07-13
AC,42,23,2,4,6,12,44,81,115.09999999999991,145.04999999999973,2025-07-20
AC,43,22,2,3,5.900000000000006,11,42,79,113.04999999999995,151,2025-07-27
AC,44,22,2,3,5,11,42,77,111,145,2025-08-03
AC,45,22,2,3,5,11,42,74.10000000000014,107,141.02499999999986,2025-08-10
AC,46,21,2,4,5,11,42,80,107,151.04999999999973,2025-08-17
AC,47,24,2,4,6,12,46,83,116,155.02499999999986,2025-08-24
AC,48,25,2,4,6,12,48,82.10000000000014,122,175.02499999999986,2025-08-31
AC,49,27,3,5,7,14,53,90,128.14999999999986,176.14999999999918,2025-09-07
AC,50,30,3,5,8,16,61,108.10000000000014,151.14999999999986,197.02499999999986,2025-09-14
AC,51,35,3,5,8,17,66,121.10000000000014,164.04999999999995,221,2025-09-21
AC,52,40,4,6,10,19,75,129,197.04999999999995,258.0499999999997,2025-09-28
AL,1,102,10,14.950000000000003,22,46.75,220,464.10000000000014,715.05,1125.1499999999992,2024-10-06
AL,2,98,9,14,22,46,202.25,410.2000000000003,626.5499999999995,907.9499999999948,2024-10-13
AL,3,87.5,8,12,19,39,194,436,700.0999999999999,1100.2749999999985,2024-10-20
AL,4,83,7,12,18,37,189,413.10000000000014,697.2499999999998,1072.0249999999999,2024-10-27
AL,5,79,7,10,16,35,171.25,390.2000000000003,668.3999999999996,1212.0749999999996,2024-11-03
AL,6,73,7,10,15,32,161,339,497,882.1999999999989,2024-11-10
AL,7,69,7,10,15,31,148,316.10000000000014,489.3499999999997,753.0249999999944,2024-11-17
AL,8,59,5,7,13,27,129,296.2000000000003,485.5499999999995,766.4499999999975,2024-11-24
AL,9,56,5,7,12,26,124.25,268.10000000000014,464.14999999999986,709.6499999999965,2024-12-01
AL,10,56,5,7,11,24,124,261.10000000000014,436.14999999999986,639.3249999999982,2024-12-08
AL,11,53,5,8,12,25,117.25,243.20000000000027,437.14999999999986,719.0749999999996,2024-12-15
AL,12,55,4,7,11,24,119.25,251.10000000000014,408.1999999999998,653.0999999999995,2024-12-22
AL,13,55,4,8,12,25,127,257,446.14999999999986,677.0999999999995,2024-12-29
AL,14,59,5,8,13,26,123,261.10000000000014,411.2999999999997,642.0499999999997,2025-01-05
AL,15,63,5,9,14,28,134,294,474.0999999999999,729.3249999999982,2025-01-12
AL,16,71,7,10,15,31,153.25,324,497.0999999999999,780.5749999999969,2025-01-19
AL,17,75.5,7,11,16,34,161,331,530.1499999999999,833.2249999999988,2025-01-26
AL,18,87,8,11,20,39,193.25,397.10000000000014,645.0999999999999,1086.4749999999974,2025-02-02
AL,19,96,9,13,20,42,205.25,447.2000000000003,778,1211.9499999999948,2025-02-09
AL,20,101,10,14,22,44,218,474.10000000000014,792.1499999999999,1298.2249999999988,2025-02-16
AL,21,112,11,17,24.900000000000006,51.75,243.25,496,791.4499999999996,1213.274999999993,2025-02-23
AL,22,118,11,16,26,52,256,543.2000000000003,904.3999999999996,1470.0249999999835,2025-03-02
AL,23,127,11,17,30,57,274,582.1000000000001,955.0999999999999,1658.0249999999999,2025-03-09
AL,24,138,13,20,32,64,297.25,605.2000000000003,962.2499999999998,1830.2249999999988,2025-03-16
AL,25,153.5,16,21,34.900000000000006,70,326.25,664,1082.6999999999994,1965.6999999999962,2025-03-23
AL,26,159.5,15,22,35.900000000000006,75,352.5,739,1313,1897.0249999999999,2025-03-30
AL,27,177,19.975,26,40,84,388,851.3000000000004,1353.1,2323.124999999999,2025-04-06
AL,28,203,19.975,30,46,92,405,838.3000000000004,1523.1999999999998,2332.075,2025-04-13
AL,29,201,21,31,47,96,420.25,895.0000000000014,1439,2488.099999999994,2025-04-20
AL,30,236.5,26,36,53,109,511.25,1086.800000000001,1708.1,2659.1499999999937,2025-04-27
AL,31,240,26,38,56.900000000000006,110,533,1102,1818.6999999999966,2799.3499999999976,2025-05-04
AL,32,266,24,38,59,118,582.25,1122.4000000000005,1743.1999999999998,2743.299999999993,2025-05-11
AL,33,293.5,30,43,65,130,611.25,1361.1000000000001,2229.5999999999985,3415.2749999999933,2025-05-18
AL,34,286.5,29,42,66,132,655.25,1307,2139.899999999999,3460,2025-05-25
AL,35,299,29,42,67,141,621.25,1350.1000000000015,2215.4499999999975,3452.0999999999995,2025-06-01
AL,36,294,31,43.95,65,135,693.25,1434.5000000000007,2464.5999999999985,3991.1499999999987,2025-06-08
AL,37,291.5,31.975,47.95,68,130,642.25,1359.9000000000012,2240.749999999999,3240.6499999999965,2025-06-15
AL,38,286,28,41,65.9,131.75,614.75,1358.3000000000004,2195.5999999999995,3138.774999999996,2025-06-22
AL,39,281,27,42,65,128,619.25,1255.5000000000007,1954.8499999999992,3441.4999999999973,2025-06-29
AL,40,279,27.975,40,62,124,596.5,1280.1000000000001,2113.949999999999,3303.3749999999977,2025-07-06
AL,41,254.5,22,35.900000000000006,56,118,565.25,1213.1000000000001,1954.2499999999998,3029.3499999999985,2025-07-13
AL,42,244,24,36,55,111,522.25,1117.1000000000001,1733.2999999999997,2871.5999999999967,2025-07-20
AL,43,224.5,23.975,33,50,101.75,504.25,1048,1631.5499999999995,2729.5499999999856,2025-07-27
AL,44,205,18.975,30,46,94,454,944.2000000000003,1603.05,2535.399999999998,2025-08-03
AL,45,187,17,27,43,83,401.25,873.1000000000001,1485.7999999999993,2468.574999999991,2025-08-10
AL,46,171,17,25,39.900000000000006,80,362,764.1000000000001,1247.1999999999998,2174.2999999999984,2025-08-17
AL,47,151,13.975000000000001,21,34,72,336.25,696.1000000000001,1126.1,1738.6249999999966,2025-08-24
AL,48,141,13.975000000000001,20,29,65,316.5,639.1000000000001,1011.2499999999998,1756.2749999999985,2025-08-31
AL,49,131,12,18,27,60,283.5,587.1000000000001,1016.05,1484.474999999992,2025-09-07
AL,50,124,11,17,27,56,265.25,573.2000000000003,950.05,1618.4249999999977,2025-09-14
AL,51,115,11,17,26,52,248,510.10000000000014,834.0999999999999,1341.3999999999978,2025-09-21
AL,52,113,10,14,23,51,237,497.10000000000014,831.05,1314.5249999999971,2025-09-28
AM,1,59,12,17,23,36.75,101,167,250,353,2024-10-06
AM,2,61,12,16,23,37.75,105,181,245.04999999999995,350.1499999999992,2024-10-13
AM,3,63,13,17,23,37.75,103,170.20000000000027,253.14999999999986,358.0499999999997,2024-10-20
AM,4,63,13,18,24,37.75,107,177,252.04999999999995,335,2024-10-27
AM,5,66,15,19,26,41,110,181,261.04999999999995,355.1499999999992,2024-11-03
AM,6,69.5,15,19,26.900000000000006,43,115,192,257,351,2024-11-10
AM,7,74,16,21,28,44,119,206,293.0999999999999,392.02499999999986,2024-11-17
AM,8,77.5,19,24,30,47,129,217.10000000000014,298.14999999999986,377.0499999999997,2024-11-24
AM,9,83,19,25,33,52,138,238,324,402,2024-12-01
AM,10,89,19,26,35,54,150.25,244,318.04999999999995,440.0499999999997,2024-12-08
AM,11,95,22,28,38,59,158,253,342.04999999999995,462.2249999999988,2024-12-15
AM,12,105,24,31,42.900000000000006,63.75,173,285,394.04999999999995,535.4499999999975,2024-12-22
AM,13,115,28,35.95,47,72,187.25,296.10000000000014,419.0999999999999,545.0749999999996,2024-12-29
AM,14,120,29,38,49,75,195.25,306.2000000000003,421.0999999999999,587.0249999999999,2025-01-05
AM,15,132,34,41.95,56,86,206,337,492,666.2749999999985,2025-01-12
AM,16,141,37,48,58,90,227,374.2000000000003,517.05,692.0249999999999,2025-01-19
AM,17,153,38,48,62,96,236,388.2000000000003,524.1999999999998,723.0499999999997,2025-01-26
AM,18,150,36.975,48,63,95,245,391,539.0999999999999,748.0999999999995,2025-02-02
AM,19,159,43,52.95,67,99,259.25,422.40000000000055,608.1999999999998,798,2025-02-09
AM,20,159,39,50,65,102,258,402.10000000000014,590.3499999999997,774.0999999999995,2025-02-16
AM,21,160,39.975,49.95,62.900000000000006,99,251.25,408.40000000000055,577,781.4499999999975,2025-02-23
AM,22,154,40,48.95,62,98,248.25,377.10000000000014,511.04999999999995,685.0999999999995,2025-03-02
AM,23,149,37,48,62,92,237,378.10000000000014,513,667.5249999999971,2025-03-09
AM,24,140,36,47,58,87,233,377,517.0999999999999,637.174999999999,2025-03-16
AM,25,138,36,45.95,57,85,222,352.10000000000014,503.14999999999986,716.0499999999997,2025-03-23
AM,26,129,32,38.95,51,82,211.25,346.10000000000014,463.0999999999999,658.0499999999997,2025-03-30
AM,27,121,28,36,49,75,199,324.10000000000014,456.49999999999955,633.1999999999989,2025-04-06
AM,28,112,27,35,47,71,186,300.10000000000014,406.14999999999986,507.2749999999985,2025-04-13
AM,29,107,27,33,44,66,172,279,379,512.0249999999999,2025-04-20
AM,30,98,24.975,31,41,60,160,267,362.04999999999995,495.1999999999989,2025-04-27
AM,31,90,21,28,37,57,145,232.10000000000014,331.14999999999986,438.09999999999945,2025-05-04
AM,32,85,20,26,35,53,142,227.10000000000014,313.0999999999999,406.02499999999986,2025-05-11
AM,33,79,18,23,30,48,132,212,292,409.0499999999997,2025-05-18
AM,34,75,16,21,28,45,122.25,202,287,376.1499999999992,2025-05-25
AM,35,70,16,21,27,45,116,187,252.04999999999995,333.09999999999945,2025-06-01
AM,36,65,14,18,25,40,112,178.10000000000014,254.0999999999999,332.09999999999945,2025-06-08
AM,37,63,14,19,25,38,104,170,235.04999999999995,319.0749999999996,2025-06-15
AM,38,61,12,16,22,37,102,167,225,309.0499999999997,2025-06-22
AM,39,60,13,17,23,35.75,100,161,228.19999999999982,304.02499999999986,2025-06-29
AM,40,58,13,16,22,34,93,155,210.0999999999999,284,2025-07-06
AM,41,54,11.975000000000001,16,22,34,92.25,152,213.04999999999995,280.0749999999996,2025-07-13
AM,42,53,13,16,20,32,88,144,189.0999999999999,239,2025-07-20
AM,43,51,11,14,19,31,84,143.10000000000014,194,271,2025-07-27
AM,44,51,11,14,19,30,82,136,205.04999999999995,266.02499999999986,2025-08-03
AM,45,50,11,15,20,31,84.25,132,179.04999999999995,261.0499999999997,2025-08-10
AM,46,51,11,15,19,31,85,139,193.0999999999999,245.04999999999973,2025-08-17
AM,47,52,11,15,19,32,90,147.10000000000014,201.19999999999982,284.0749999999996,2025-08-24
AM,48,54,11,15,21,33,91,160,217,297.0749999999996,2025-08-31
AM,49,57,12.975000000000001,17,21,34,95,156.10000000000014,217,300.09999999999945,2025-09-07
AM,50,61,12,16,21,34,101,164,225,324.0749999999996,2025-09-14
AM,51,59,12,17,22,37,100.25,167,234,345.1999999999989,2025-09-21
AM,52,62,12.975000000000001,16,23,37,105.25,179.10000000000014,257.04999999999995,332.0499999999997,2025-09-28
AP,1,8,0,0,1,2,23,62,106,200.04999999999973,2024-10-06
AP,2,7.5,0,0,0,2,20,54,92.04999999999995,179.17499999999905,2024-10-13
AP,3,6,0,0,0,2,19,47,91.09999999999991,177.0749999999996,2024-10-20
AP,4,6,0,0,0,2,18,45,92.04999999999995,148.0749999999996,2024-10-27
AP,5,5,0,0,0,2,15,40,71.09999999999991,132.22499999999877,2024-11-03
AP,6,5,0,0,0,1,14,36,69.04999999999995,124,2024-11-10
AP,7,5,0,0,0,1,14,36,67,99.02499999999986,2024-11-17
AP,8,4,0,0,0,1,12,35,59.049999999999955,118.04999999999973,2024-11-24
AP,9,4,0,0,0,1,12,31,57.049999999999955,107.09999999999945,2024-12-01
AP,10,4,0,0,0,1,13,32,57,99.04999999999973,2024-12-08
AP,11,5,0,0,0,1,15,39.100000000000136,70.04999999999995,129.04999999999973,2024-12-15
AP,12,6,0,0,0,2,18,44,81.04999999999995,167.02499999999986,2024-12-22
AP,13,8,0,0,1,3,23,54.100000000000136,96.04999999999995,190.0749999999996,2024-12-29
AP,14,10,0,0,1,3,29,77,142.04999999999995,228.02499999999986,2025-01-05
AP,15,11,0,0,1,4,34,91.10000000000014,170,288.0499999999997,2025-01-12
AP,16,14,0,0,1,4,39,98.10000000000014,179,315.1499999999992,2025-01-19
AP,17,15,0,0,2,5,43,122,217.34999999999968,398.17499999999905,2025-01-26
AP,18,17,0,1,2,6,50,132.10000000000014,246.0999999999999,368.549999999997,2025-02-02
AP,19,19,0,1,2,6,53,140.10000000000014,280.2499999999998,468.09999999999945,2025-02-09
AP,20,20,0,1,2,7,56,147,276.2999999999997,460.02499999999986,2025-02-16
AP,21,21,0,1,2,6,60,146.10000000000014,253.19999999999982,470.02499999999986,2025-02-23
AP,22,19,0,1,2,7,58,149,272,495.17499999999905,2025-03-02
AP,23,20,0,1,2,6,53,150,291.2999999999997,459.1249999999993,2025-03-09
AP,24,18,0,1,2,6,52,129.10000000000014,262,461.3249999999982,2025-03-16
AP,25,17,0,1,2,6,50,126.10000000000014,231.34999999999968,423.0749999999996,2025-03-23
