uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,5410,1273.6250000000002,1641.7,2107.9,3420,8475.75,13384.600000000002,17643.899999999998,23586.19999999994
AL,9191.5,1821.625,2416.85,3337.3,5290.5,16680,29546.200000000015,45984.2,65169.14999999998
AM,5033.5,1859.9750000000001,2303.95,2710.9,3574,7157,10312.100000000006,12970.049999999997,15923.174999999988
AP,775.5,64.975,103.95,164.9,354.75,1852,4432.6,7605.299999999999,12424.82499999999
BA,49608.5,22295.725000000002,24757.65,28680.6,36397.25,69460,98469.20000000001,123751.09999999999,165581.84999999998
CE,21246.5,8909.45,10052.150000000001,11446.7,15258.25,30440.5,44325.80000000002,59452.39999999998,81257.62499999988
DF,24896.5,1837.6000000000001,2835.5,4601.3,11066.75,54498,113753.60000000003,183623.15,291629.0499999998
ES,40666.5,3497.7000000000003,5373.4000000000005,7934.6,17155,105558,287719.7000000003,587489.2999999996,1295513.3499999896
GO,119262.5,64582.275,72266.34999999999,82217,96723.25,146734,179930.60000000003,212580.4,238311.74999999997
MA,6525.5,2487.6749999999997,2884.4,3485.7999999999997,4620.75,9395.5,13928.600000000002,18415.549999999992,23765.42499999998
MG,230024.5,101142.05,112987.09999999999,128296,163667.75,343637.25,630624.7000000002,923431.2499999995,1255351.3999999997
MS,21888,5912.8,7237.2,8982.5,13163.5,38172.5,66176.3,97679.40000000001,140791.69999999998
MT,23358.5,10061.5,11556.1,13864.4,18061.5,32404,45967.4,60595.450000000004,77054.45
PA,8312.5,3811.875,4274.9,4936.3,6382.5,11063.5,15146.100000000004,19386.949999999997,24000.449999999975
PB,13961.5,5541.375,6413.75,7671.9,10345,19442.25,27229.4,33565.95,40855.64999999995
PE,25562,8186.925,10146.9,12236.900000000001,17126.75,40468.25,62476.200000000055,83008.8,116035.29999999984
PI,8049,2983.975,3601.7999999999997,4433.2,5842.25,11488,16343.000000000002,20105.749999999996,26654.799999999985
PR,102395.5,17852.925000000003,22138.3,32623.399999999998,56978,194002,373877.2000000003,574014.9999999999,893131.3499999957
RJ,21504,1811.05,2738.75,4481.9000000000005,9930.75,49445.75,111260.20000000001,167671.3,272065.2249999998
RN,15745.5,4986.85,5945,7381.1,10439.5,24393,38648,54286.44999999997,71717.72499999993
RO,3686.5,935.925,1184.7,1526.8999999999999,2281.75,6247.75,10150.900000000005,14829.149999999992,22812.249999999996
RR,284,37,51,77,151,558.25,1131.5000000000007,1725.2999999999997,2554.524999999997
RS,21693,2490.775,3503.85,5062.7,9783.75,58032.75,160957.4000000002,337549.6499999998,834504.6499999998
SC,29704.5,3248.7,4861.05,6713.700000000001,13188.75,83525.75,277355.60000000073,690574.5499999999,1686719.749999991
SE,1914,261.975,368.85,540.9,1015,3863.25,7347.300000000012,11029.899999999998,17282.49999999999
SP,401111.5,152524.17500000002,174894.80000000002,200016.6,276900.5,642821.75,1099038.8000000007,1620935.15,2136668.424999998
TO,6286.5,1944.7,2358.95,2951,4232.5,9556.75,14364.400000000001,18998.049999999996,24658.79999999998
BR,1685944.5,958817.0499999999,1031625,1128150.5,1327927.25,2303220,3584625.7,5230367.499999999,8369547.99999999
