uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2026-10-11,43,5,8,13,23,83.25,140,203,277.02499999999986
AC,2,2026-10-18,52,7,10,15,28,97,167,237.04999999999995,342.0499999999997
AC,3,2026-10-25,64,8,12,17,32,119,205.3000000000004,286.04999999999995,363.02499999999986
AC,4,2026-11-01,75,8,13,20,38,140,241.10000000000014,331.04999999999995,442.0749999999996
AC,5,2026-11-08,85,10,15,23,46,162,280,392.0999999999999,523.0499999999997
AC,6,2026-11-15,98.5,12,17,27,51,178,310.10000000000014,439.04999999999995,612.1249999999993
AC,7,2026-11-22,112,15,22,32,60,217,368,491.7499999999993,657.0999999999995
AC,8,2026-11-29,131,15.975000000000001,23.950000000000003,34,67,237,422,581.1499999999999,822.0249999999999
AC,9,2026-12-06,144,19,26,39,77,260.25,456.10000000000014,614.05,793.0249999999999
AC,10,2026-12-13,148,19,26,44,79,275,476.2000000000003,661,876.3499999999981
AC,11,2026-12-20,160,20,30,46,83,297.25,518.4000000000005,696.0999999999999,981.0749999999996
AC,12,2026-12-27,174.5,23,33,47,93,307.25,561.2000000000003,820.0999999999999,1117.349999999998
AC,13,2027-01-03,193.5,25,35,54,100,345.5,599.5000000000007,828.05,1094.1499999999992
AC,14,2027-01-10,205,27,37,55,102,372.25,661.2000000000003,882.0999999999999,1171.0999999999995
AC,15,2027-01-17,218,30,41.95,63.900000000000006,114,401,677.1000000000001,940.05,1226.5749999999969
AC,16,2027-01-24,224.5,27.975,43,63,117,413,707.3000000000004,969.4499999999996,1340.5749999999969
AC,17,2027-01-31,221,28,39.95,58,112.75,403,699.3000000000004,992.3499999999997,1279.1249999999993
AC,18,2027-02-07,218,27,37,60.900000000000006,114,393.5,682,961.5499999999995,1259.0499999999997
AC,19,2027-02-14,206,27,41,58,106,376,650.1000000000001,889.1499999999999,1264.0499999999997
AC,20,2027-02-21,190,27,39,54,97,345.25,588.3000000000004,811.0999999999999,1123.0999999999995
AC,21,2027-02-28,165,21,31,50,89.75,311,566.1000000000001,793.1499999999999,1143.724999999996
AC,22,2027-03-07,149,21,30,44,77.75,276,453.2000000000003,650.2999999999997,882.374999999998
AC,23,2027-03-14,128.5,16,24,35,69,242,431,628.1499999999999,817.0499999999997
AC,24,2027-03-21,116,14,20,31,59,225,363.3000000000004,507,697.2999999999984
AC,25,2027-03-28,106,14,19,28,56,195,337,480.04999999999995,684.174999999999
AC,26,2027-04-04,93,12,17,26,48,175,315,433.0999999999999,549.0499999999997
AC,27,2027-04-11,85,11,15,22,43.75,160,266,380,523.0749999999996
AC,28,2027-04-18,73,9,14,21,40,137,236,344,463.1999999999989
AC,29,2027-04-25,69,8,13,19,35,127,218.3000000000004,297.04999999999995,391.0749999999996
AC,30,2027-05-02,60,7,11,17,32,113.25,202.10000000000014,289,394.0749999999996
AC,31,2027-05-09,55,6.975000000000001,10,15,29,101,175.10000000000014,244.0999999999999,324.02499999999986
AC,32,2027-05-16,45,5.975000000000001,8.950000000000003,14,26,90,158.10000000000014,212,289.1499999999992
AC,33,2027-05-23,45,5,7,12,23,83,149,208.14999999999986,268.02499999999986
AC,34,2027-05-30,40,4,6,10,20,71,122.10000000000014,166.04999999999995,251.09999999999945
AC,35,2027-06-06,34,4,6,9,18,63,111,156.04999999999995,217
AC,36,2027-06-13,31,3,5,8,16,59,99,135,190.09999999999945
AC,37,2027-06-20,28,3,5,8,14,54,91,122.04999999999995,183.04999999999973
AC,38,2027-06-27,27,3,4,6,13,49,82,118,178.04999999999973
AC,39,2027-07-04,24,2,4,6,12,46,81.10000000000014,117.04999999999995,160.02499999999986
AC,40,2027-07-11,23,3,4,6,12,44,79,104,144.04999999999973
AC,41,2027-07-18,22,3,3.950000000000003,6,11,43,73,99,131.09999999999945
AC,42,2027-07-25,21,2,3,5,11,41,73,105.04999999999995,145
AC,43,2027-08-01,20.5,2,3,5,10,38,67,95,124.02499999999986
AC,44,2027-08-08,20,2,4,5,10,37,67.10000000000014,93.04999999999995,130.02499999999986
AC,45,2027-08-15,20,2,3,5,10,36,63,91.04999999999995,128
AC,46,2027-08-22,20,2,3,5,11,39,67.10000000000014,96,134.04999999999973
AC,47,2027-08-29,21,2,3,5,11,39,68,99.04999999999995,132.02499999999986
AC,48,2027-09-05,22,2,3,6,11,42,71,98.04999999999995,133
AC,49,2027-09-12,25,3,4,7,13,45,80,113.04999999999995,177.02499999999986
AC,50,2027-09-19,28,3,5,7.900000000000006,14,53,91,122.04999999999995,171.0749999999996
AC,51,2027-09-26,34,4,5,8,17,61,105,145,197.02499999999986
AC,52,2027-10-03,38,5,7,10,20,69,126,172.04999999999995,242.02499999999986
AC,53,2027-10-10,46,5,8,12,24,85,151,209,260.02499999999986
AL,1,2026-10-11,107,13,18.950000000000003,27,54,227.25,419.3000000000004,610.0999999999999,974.2499999999986
AL,2,2026-10-18,103.5,10,15,26,49,205.25,410.10000000000014,561.1499999999999,916
AL,3,2026-10-25,91,9,14,21.900000000000006,45,183.25,354.40000000000055,576.1499999999999,943.8249999999955
AL,4,2026-11-01,86,9,15,21,42,175,346.2000000000003,519.05,807.0999999999995
AL,5,2026-11-08,81,8,12,19,41,161,338.10000000000014,532.2999999999997,728.0499999999997
AL,6,2026-11-15,74,8.975000000000001,13,18,36,152.25,312,470.04999999999995,664.1249999999993
AL,7,2026-11-22,69,7,11,16,33,136,274.3000000000004,427,589.1499999999992
AL,8,2026-11-29,65,7,10,16,31,132,262,433.14999999999986,644.174999999999
AL,9,2026-12-06,60,7,9.950000000000003,15,28.75,123,249.3000000000004,369.04999999999995,537.0749999999996
AL,10,2026-12-13,58,6,9,14,26,115,225,344.0999999999999,533.0249999999999
