uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,175.5,48.975,60,75.9,114,273.25,413.10000000000014,531.2499999999998,691.0999999999995
AL,2076,256.95,377.84999999999997,553.9,1023.5,4550,9408.300000000001,15773.599999999995,29965.52499999995
AM,174,55,67,83.9,116,274.25,451.10000000000014,627.1999999999998,860.1499999999992
AP,93,11,16,25,45,174.25,342,531.3499999999997,771.2249999999988
BA,14974,5529.5,6353.35,7237.5,9931.5,24822.5,46769.70000000004,70430.04999999999,100768.74999999987
CE,7613,1629.8999999999999,1977.75,2563.5,4154.5,15445,33813.90000000003,60469.49999999998,108832.49999999993
DF,344,88.975,114,140,219,549,872.8000000000011,1223.6499999999994,1762.6749999999963
ES,406.5,66,86,116,206.75,1029.5,2754.600000000001,5485.65,10276.425
GO,1528.5,314,393,512.8,836,3362.5,7237.300000000019,12491.399999999983,24093.475
MA,1725,408.85,505.79999999999995,636.9,1017.75,3102.25,6132.300000000005,10492.050000000001,14981.449999999997
MG,16166,4173.8,4956.95,6293.5,9635,33634.75,78847.50000000012,151205.49999999997,297244.54999999906
MS,1706.5,280.95000000000005,380,508.7,862.25,3880.25,10274.1,20350.949999999997,31979.674999999963
MT,3730,739.875,920.9000000000001,1214.8,2078,7838.75,17542.600000000028,34782.19999999999,60696.3999999998
PA,1659.5,466.925,560.9000000000001,691.9,1009,2975.25,5788.100000000002,9113.149999999996,14321.024999999983
PB,3403,806.95,997.95,1269.9,1987.25,6337,11952.900000000003,19304.05,30457.949999999924
PE,7134,1826.95,2308.95,2886.3,4411.5,12329,21463.80000000001,29567.05,41802.1999999999
PI,1620,459.95000000000005,574,703.9,1028.75,2709.5,4607.700000000001,6914.199999999999,9396.099999999971
PR,870,281.95,334.95000000000005,402,571.75,1478.25,2663.700000000001,3957.8999999999983,5744.874999999995
RJ,6794.5,632.775,948.9,1446.8,2904.75,15751.25,36559.20000000001,64334.74999999999,117328.29999999999
RN,5278,1644.975,1940.45,2403.7999999999997,3504.75,7913,12913.000000000018,18045.049999999996,24757.549999999992
RO,397.5,80,98.95,136,222,777.25,1499.1000000000001,2323.3999999999996,3666
RR,107,12,17,26,49,238.25,515.2000000000003,854.9499999999991,1338.6249999999966
RS,205.5,84.975,97,112,148,300,462.2000000000003,605.1499999999999,815.0749999999996
SC,301,125,139.95,164,216,454,727.1000000000001,1055.1,1726.349999999998
SE,1216,83.975,117.95,211,476.75,3351.75,9182.600000000004,14607.999999999998,29806.199999999888
SP,3253.5,1411.9750000000001,1559.9,1807.8,2299.5,5049,8764.700000000006,13652.15,24145.699999999968
TO,852,163.9,210.95000000000002,281.9,473.75,1698,3189.7000000000025,5087.35,8269.175
BR,131169,66334.9,73529.65,80490.7,99235.5,199445.75,331551.00000000006,549564.7499999998,799529.1749999959
