uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,171,31,42,59,100,284,448,641.05,806.1249999999993
AL,1877.5,149.97500000000002,231.85000000000002,382,808.5,4313,9898.500000000005,17106.75,29523.149999999994
AM,172,42,53.95,71,108,281,455.2000000000003,648,894.2249999999988
AP,78,4,9,15,32,181,397,639.0999999999999,1114.4249999999977
BA,14108,4427.4000000000005,5443.95,6624.9000000000005,9328.75,24203.75,42483.50000000006,68053.65,112522.29999999987
CE,7125.5,1222.925,1578.65,2211.7999999999997,3644,13743.5,30220.300000000007,55673.799999999996,120290.34999999998
DF,319.5,53.975,77,109,184,547.25,937.5000000000007,1317.1999999999998,1734.8249999999955
ES,348.5,42.975,62,91,168,899.75,2648.500000000001,4547.049999999996,8895.025
GO,1459,209.975,288.95,389.9,717.75,3402.75,7647.800000000005,14338.949999999999,26010.174999999923
MA,1677.5,272.975,370.8,519.7,904.25,3289.25,6540.90000000001,10450.549999999997,16154.824999999995
MG,14772,3356.725,3997.8,5142.200000000001,8241.75,30751,66280.6,126003.29999999996,238388.2499999992
MS,1511.5,176.975,252.95,340,694,3581,8610.100000000011,16663.1,27580.124999999825
MT,3204.5,509.925,667.7500000000001,927.9,1615.75,7546,17571.400000000005,35783.599999999984,73323.72499999976
PA,1577.5,325,428.95,577.6999999999999,917.75,2839.75,5513.700000000003,8549.499999999995,13892
PB,3229.5,592,800.9000000000001,1103.4,1799.5,6324.75,12110.900000000001,18675.05,28772.449999999997
PE,6751,1298.4,1744.5500000000002,2359.8,3920.5,12352,23610.80000000001,34679.95,51735.649999999914
PI,1624.5,380.975,481.95,623,946.75,2880.75,4782.200000000001,6991.4,9904.474999999986
PR,811,231,270.90000000000003,325.9,502.75,1476.5,2687.2000000000007,4196.049999999999,7154.274999999999
RJ,5778.5,277.975,489.75,870.6,2242.75,15659.75,38368.3,71923.04999999999,109884.7
RN,5076.5,1269.9,1637.8500000000001,2110.9,3225.75,8224.5,12962.400000000001,17837.449999999993,23703.324999999957
RO,360.5,50,68.95,98.9,183,712.25,1491.6000000000008,2250.6499999999996,3934.0499999999997
RR,83,4,7,14,33,202.25,476.3000000000004,812.4499999999996,1476.2749999999985
RS,198,71,84,103,139,297,463.10000000000014,622.1999999999998,864.0999999999995
SC,287.5,100,122,145,197,444,736.1000000000001,1111.05,1863.7249999999851
SE,931.5,22,50,89,300,2988.25,8825.00000000001,15856.249999999993,37305.49999999991
SP,3123.5,1238.8249999999998,1412.65,1605.7,2168.75,4944.25,9347.300000000007,14662.3,21356.074999999917
TO,812,99.975,142.95000000000002,212.9,395,1636.5,3409.900000000001,5755.149999999998,9012.199999999988
BR,125617.5,63505.375,68890.3,76017.8,93326.75,190499.5,314896.5000000002,503199.7499999996,747151.1499999998
