uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,5679,1887.9,2299.8,2910,4020.75,8390,12453.2,15308.299999999996,18986.424999999996
AL,9596,2198.4750000000004,2783.85,3648.7000000000003,5702.25,16559,27185.70000000001,38680.35,55830.4749999999
AM,5066.5,2251.75,2598.5,2951.3999999999996,3769.75,7104,9786.000000000005,12534.049999999997,16188.999999999978
AP,859.5,96.975,142,214.9,434,1927.5,4268.800000000004,7101.449999999999,12924.324999999993
BA,49912.5,22752.8,26050.1,30301,38253,68407,98100,129122.19999999992,169183.87499999988
CE,21235.5,9247.525000000001,10302.45,12052.8,15577,30355,45749.200000000004,60774.549999999974,83133.12499999991
DF,24349.5,3027.725,4555.200000000001,6485.1,11530,52561.5,99532.30000000003,157478.74999999983,252421.1249999998
ES,45072.5,12186.55,15743.550000000001,19856.7,29543.75,71411.75,124047.90000000002,185406.4999999999,279369.1999999995
GO,119035,68827.52500000001,75521.15000000001,84484.2,98571.25,145437.75,183099.7,214002.44999999998,245501.52499999947
MA,6654,2611.9750000000004,2970.85,3576.7999999999997,4792.5,9462.75,13695.7,17589.899999999998,22616.624999999996
MG,219076,101195.45,112460.40000000001,129105.90000000001,162148.75,342564.25,599112.8,885166.45,1352131.074999998
MS,22169.5,7070.9000000000005,8441.8,10220.4,14110.75,36765.5,63102.30000000002,93028.34999999995,141619.77499999994
MT,23648,11595.95,12808.949999999999,14619.900000000001,18243,31637,42293.600000000006,52858.25,73435.64999999992
PA,8459,4144.175,4683.9,5355.8,6637.25,11235.5,15657.900000000007,19176.399999999994,23982.24999999996
PB,13595.5,5873.8,6557.5,7704,10096,18630.75,25473.4,31816.349999999995,38909.22499999994
PE,26036,10094.15,11398.599999999999,13807.900000000001,18821,38310.5,59693.000000000015,80437,105385.09999999947
PI,8272.5,3386.675,3927.75,4607.7,6154.75,11793,16606.800000000003,20723.35,26473.025
PR,100525.5,22976.125,29002.85,37030.9,56865.25,189232,364330.9000000001,573292.5499999996,907626.6749999986
RJ,23987.5,2852.9500000000003,4192.75,6201.8,11176,52148,103620.2000000001,176740.44999999987,274705.17499999964
RN,14944.5,5065,5975,7142.7,10198.75,22985.5,37362.700000000004,51872.299999999996,70796.97499999979
RO,3850.5,1179.75,1441.8,1834.9,2583.75,5981.75,9196.1,12451.2,17357.774999999998
RR,331.5,61.95,80,114,188,598.25,1048.1000000000001,1591.1499999999999,2291.2249999999985
RS,18217.5,2799,3559.6,5010.7,9318,46082.5,106812.60000000003,211453.44999999995,375310.74999999907
SC,29741.5,3849.425,5054.45,7361.9,13500.5,75265.25,199924.60000000018,510800.09999999957,1129493.3499999966
SE,2179.5,351.95,468.95,678.8000000000001,1172,4056.25,7295.500000000007,11426.05,17351.299999999996
SP,373476.5,152757.275,174126.3,201962.69999999998,265447.25,572531.5,903544.4000000004,1363271.2499999995,1875663.749999996
TO,6905,2377.975,2871.8500000000004,3534,4878.25,10355.75,15390.400000000001,20407.049999999996,25911.599999999995
BR,1534143,932612.9500000001,973325.85,1056186.2,1236645.25,2003149.5,2897796.5000000005,4190553.4999999995,6557876.02499999
