uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,5475.5,1263.8500000000001,1662.2,2216,3363.75,8802.75,14114.000000000004,19311.249999999996,23717.799999999956
AL,9209.5,1645.65,2384.3500000000004,3259.1000000000004,5279.75,16770.25,30562.100000000002,44156.749999999956,61410.599999999984
AM,4902,1622.975,1985.5,2483.7999999999997,3410.75,7086.25,10212.70000000001,13106.25,16918.999999999985
AP,758.5,48,77.9,125.9,315,1768,4052.200000000003,7614.0499999999975,11610.274999999976
BA,49434,21673.125,25415.75,29059,36670.75,70147.5,102013.70000000001,135371.09999999998,178573.72499999995
CE,20983,8161.575,9764.099999999999,11287.7,14960.25,30198,45297.3,60966.69999999998,81164.275
DF,23631,1482.2749999999999,2722.4500000000003,4464.3,9755.25,51927.25,119016.40000000005,201404.1499999999,343960.1499999999
ES,42254.5,10222.075,13018,16448.3,25650.5,72608.5,131148.1000000001,215386.4499999999,339073.19999999995
GO,117771,65598.425,72057.85,80534,96650,149076.5,187831.9,216057.15,252014.22499999992
MA,6532.5,2304.7,2811.7,3342.8,4491.75,9606.75,13668.300000000007,19078.499999999996,24394.87499999999
MG,213277.5,91168.325,100520.25,116841.1,150583,338526.25,565901.1000000001,865266.45,1325067.799999993
MS,20526.5,6089.7750000000005,7121.950000000001,8951.4,13016.5,35490,64629.700000000055,90325.29999999997,123590.77499999982
MT,22613,10235.85,11772.949999999999,13333.300000000001,17159,31967.75,45558.70000000003,57931.59999999997,74025.19999999998
PA,8242,3726.725,4276.7,4868,6293.75,11141.5,15502.900000000001,19510.249999999996,23811.974999999977
PB,13215,5095.3,5920.6,7192.5,9574.75,18660.25,26494.9,33641.2,41135.29999999997
PE,24540,8170.8,9911.9,12314.699999999999,17059,38252.75,62299.90000000001,86957.8,125765.19999999995
PI,8170,3175.9,3716.9,4502.4000000000005,5856.75,11823.25,16805.5,21706.549999999996,27487.325
PR,100013.5,18199.2,22714.65,30710.600000000002,53934.5,203348.5,418096.3000000002,658192.1,1107403.4249999966
RJ,22248,1661.85,2510.7,4324.8,9757.5,47512.5,100135.80000000002,162780.04999999996,270512.62499999953
RN,14179.5,4105.85,5016.75,6475.9,9337.25,23185.25,36767.50000000001,49378.75,74053.9999999998
RO,3660.5,940.85,1169.8500000000001,1543.9,2344,6130.5,10284.500000000002,14472.799999999997,19597.674999999996
RR,298.5,31,49.95,71,141,576,1063,1695.5499999999995,2396.5249999999915
RS,18014.5,2228.525,3155,4426.9000000000005,8239.25,47432.5,128243.4000000001,259923.7999999999,753292.3749999998
SC,24905.5,2848.7250000000004,3765.35,5551.7,10952.25,69377.75,224124.30000000075,520611.89999999997,1105925.8
SE,1799.5,206.97500000000002,311,448,903,3681,7032.800000000003,10682.749999999998,16627.77499999999
SP,369734.5,141362.875,161993.95,191021.30000000002,257639.5,579291.75,974953.0000000001,1489094.25,2718943.55
TO,6754,1832.625,2417.5,3084.2000000000003,4468.75,10333.25,15994.70000000001,21566.6,29239.199999999997
BR,1556976.5,898126.725,960247.5,1039147.5,1227574.25,2126921.25,3286596.1,5113507.299999999,7570055.599999986
