uf,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,5893.5,1906.6000000000001,2293.85,2813.5,4020.5,8848.75,13013.500000000002,17340.3,22166.949999999928
AL,9628.5,2463.6499999999996,3036.4500000000003,3920.5,5896.75,16772.25,28282.800000000007,41570.2,58401.524999999856
AM,5286,2200,2601.85,3022,3901.25,7371.75,10504.1,12785.65,16565.449999999986
AP,844,106.95000000000002,146,210,417.75,1829,3695.1000000000095,6633.299999999999,10448.249999999993
BA,49780.5,24849.875000000004,27513.100000000002,31178.600000000002,37989.25,68686.75,100577.20000000001,131521.19999999995,176004.1749999997
CE,20775,9361.475,10572.15,12086.5,15452.5,29600.5,43681.400000000016,57469.45,81270.62499999988
DF,26031,3296.5750000000003,4559.299999999999,6636.1,12671.5,55636.25,116775.30000000002,185610.8,299609.14999999997
ES,49453.5,6323.05,9328.95,13064.699999999999,23985.75,113939,283209.20000000007,555497.5499999993,918768.0249999979
GO,119063,70215.875,76247.55,83383.5,98254.25,145308,178187.2,206802.1,243581.1
MA,6449.5,2582.875,3008.25,3564.9,4724,9263.75,13217.000000000002,16981.899999999998,22836.425
MG,237640,103711.925,116602.15,133425.9,172032.75,358155.75,577073.7000000003,920135.3999999999,1407507.1499999992
MS,23046,6733.55,8186.95,10630.3,14865.25,37445.5,57536.2,83354.39999999998,113654.74999999984
MT,23806.5,11782.725,13101.85,14780.7,18393.5,31814.25,43483.600000000006,56392.049999999996,74412.37499999997
PA,8428.5,4230.95,4729.5,5337.9,6624.75,10996,15057.500000000007,18606.899999999998,23116.299999999996
PB,13778,5958.450000000001,6959.35,8205.5,10367,18625.25,25957,32416.499999999996,41104.475
PE,26660,9392.300000000001,11274.5,13896.400000000001,18569.25,40483.25,60502.70000000001,78800.69999999998,109641.24999999999
PI,7920,3523.9500000000003,4043.85,4676,5887.5,11084.75,16360.400000000001,20354.649999999998,26316.749999999996
PR,107635,24684.949999999997,30258.75,40217.8,63395,197881,391581.9000000001,623494.6499999999,1073326.4749999978
RJ,25904,3354.5249999999996,4713.75,6951.4,12828.75,52416,107743.3000000001,161826.69999999992,235439.4749999998
RN,15867.5,4929.450000000001,5896.95,7333.1,10632.5,24847.75,38616.4,49574.2,69100.0499999999
RO,3880,1237.9,1417,1773.7,2566.25,6025.5,9553.300000000005,12655.999999999996,17670.624999999927
RR,320.5,61,78.95,110,178.75,591,1114.0000000000014,1747.1499999999999,2586.9999999999945
RS,23923.5,3068.7749999999996,4253.15,6024.5,10551.75,63087.75,174485.80000000002,353563.7,812595.8749999988
SC,33349.5,4312.875,5609.1,7802.7,14837.75,87633.5,293819.6000000001,697056.0999999994,1704393.8749999986
SE,2207,372.925,528.9,733.9000000000001,1237.75,3833.75,6829.1,9705.699999999997,15915.999999999984
SP,403219,155971.025,179729.35,211082.30000000002,281087,628615.25,1046922.9000000003,1482734.5,2271209.6499999966
TO,6768.5,2356.9,2784.5,3315.3,4636.75,9802.25,13904.600000000004,17111.549999999996,21685.874999999993
BR,1697195.5,973311.425,1037067.55,1130638,1337003,2330151.5,3776971.8000000007,5604927.449999999,7637448.974999994
