uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2027-01-03,3,0,0,0,1,7,15,22,31
AC,2,2027-01-10,4,0,0,0,1,8,17,28,38
AC,3,2027-01-17,4,0,0,0,1,9,19,28.049999999999955,42.024999999999864
AC,4,2027-01-24,4,0,0,0,1,9,19,28.049999999999955,39.024999999999864
AC,5,2027-01-31,4,0,0,0,1,10,20,30,41
AC,6,2027-02-07,4,0,0,0,1,10,19,28,38.024999999999864
AC,7,2027-02-14,4,0,0,0,1,9,19,27,40
AC,8,2027-02-21,4,0,0,0,1,10,19,29,42
AC,9,2027-02-28,4,0,0,0,1,9,19,28,39
AC,10,2027-03-07,4,0,0,0,1,9,18,26,39
AC,11,2027-03-14,3,0,0,0,1,9,17,25,35
AC,12,2027-03-21,3,0,0,0,1,7,14,22,31
AC,13,2027-03-28,3,0,0,0,1,7,13,20.049999999999955,28.024999999999864
AC,14,2027-04-04,2,0,0,0,1,6,12,19,27
AC,15,2027-04-11,2,0,0,0,0,5,11,17,22
AC,16,2027-04-18,2,0,0,0,1,5,10,15,21
AC,17,2027-04-25,2,0,0,0,0,5,9,14,19
AC,18,2027-05-02,2,0,0,0,0,4,8,12,16
AC,19,2027-05-09,2,0,0,0,0,4,8,13,17
AC,20,2027-05-16,2,0,0,0,0,4,9,14,19
AC,21,2027-05-23,1,0,0,0,0,4,8,11,16.024999999999864
AC,22,2027-05-30,2,0,0,0,0,4,8,12,17
AC,23,2027-06-06,2,0,0,0,0,4,8,13,17
AC,24,2027-06-13,2,0,0,0,0,4,8,12,15
AC,25,2027-06-20,1,0,0,0,0,4,8,11,16
AC,26,2027-06-27,1,0,0,0,0,4,8,11,16
AC,27,2027-07-04,1,0,0,0,0,4,7,10,15.024999999999864
AC,28,2027-07-11,1,0,0,0,0,3,6,9,13
AC,29,2027-07-18,1,0,0,0,0,3,7,10.049999999999955,14
AC,30,2027-07-25,1,0,0,0,0,3,6,9,13
AC,31,2027-08-01,1,0,0,0,0,3,7,10.049999999999955,14
AC,32,2027-08-08,1,0,0,0,0,3,6,9,12
AC,33,2027-08-15,1,0,0,0,0,3,6,8,11
AC,34,2027-08-22,1,0,0,0,0,2,5,7,10
AC,35,2027-08-29,1,0,0,0,0,2,5,7,10
AC,36,2027-09-05,1,0,0,0,0,2,5,8,11
AC,37,2027-09-12,1,0,0,0,0,3,5,8,11.024999999999864
AC,38,2027-09-19,1,0,0,0,0,3,6,9,12
AC,39,2027-09-26,1,0,0,0,0,3,6,9,13
AC,40,2027-10-03,1,0,0,0,0,3,6,10,15
AC,41,2027-10-10,1,0,0,0,0,4,7,11,16
AC,42,2027-10-17,2,0,0,0,0,4,9,13,18
AC,43,2027-10-24,2,0,0,0,0,4,8.100000000000136,12,16
AC,44,2027-10-31,2,0,0,0,0,5,9,14,19
AC,45,2027-11-07,2,0,0,0,0,5,10,14,19
AC,46,2027-11-14,2,0,0,0,0,5,10,15,20.024999999999864
AC,47,2027-11-21,2,0,0,0,1,5,10,16,23
AC,48,2027-11-28,2,0,0,0,1,5,11,16,23.024999999999864
AC,49,2027-12-05,2,0,0,0,1,5,11,16,22
AC,50,2027-12-12,2,0,0,0,1,6,11,17,24.024999999999864
AC,51,2027-12-19,2,0,0,0,1,6,13,19,27
AC,52,2027-12-26,3,0,0,0,1,7,14,22,29
AL,1,2027-01-03,8,0,0,1,3,22,61,110,189
AL,2,2027-01-10,8,0,0,1,3,23.25,62,125,258.1499999999992
AL,3,2027-01-17,8,0,0,1,3,25,62,122.09999999999991,230.1999999999989
AL,4,2027-01-24,9,0,0,1,3,25,65.10000000000014,116.19999999999982,213.24999999999864
AL,5,2027-01-31,9,0,0,1,3,26,68,143.14999999999986,252.0749999999996
AL,6,2027-02-07,9,0,0,1,3,27,75.10000000000014,147.04999999999995,258.2249999999988
AL,7,2027-02-14,11,0,0,1,3,30,76,136.04999999999995,253
AL,8,2027-02-21,11,0,0,1,3,30,82,165.04999999999995,337.1499999999992
AL,9,2027-02-28,12,0,0,1,4,35.25,100,170,294.0499999999997
AL,10,2027-03-07,12,0,0,1,4,35,91,154.19999999999982,289.02499999999986
AL,11,2027-03-14,13,0,0,1,4,37,96.10000000000014,173,301.02499999999986
AL,12,2027-03-21,14,0,0,1,4,40.25,105.20000000000027,196.04999999999995,395.0499999999997
AL,13,2027-03-28,15,0,0,2,5,41.25,107.10000000000014,233.34999999999968,393.17499999999905
AL,14,2027-04-04,16,0,1,2,5,48,125,217.04999999999995,438.0749999999996
AL,15,2027-04-11,19,0,1,2,6,54,134,233.04999999999995,491.24999999999864
AL,16,2027-04-18,20,0,1,2,7,57,135.10000000000014,273.2499999999998,507.02499999999986
AL,17,2027-04-25,21,0,1,2,8,57,154.10000000000014,296.04999999999995,563.0249999999999
AL,18,2027-05-02,25,0,1,3,9,68,192.20000000000027,336,594.274999999993
AL,19,2027-05-09,26.5,0,1,2,9,74,199,354.0999999999999,630.3999999999978
AL,20,2027-05-16,28,1,1.9500000000000028,3,9,86,223.10000000000014,414.49999999999955,704.2249999999988
AL,21,2027-05-23,32,1,2,4,10,92,241,433.8999999999992,777.374999999998
AL,22,2027-05-30,33.5,1,2,3,11,98,266.40000000000055,494.39999999999964,953.1999999999935
AL,23,2027-06-06,36,1,2,5,13,105,273.2000000000003,493,1008
AL,24,2027-06-13,38,1,2,5,13,108,291,642.1499999999999,1088.749999999996
AL,25,2027-06-20,43,1,2,5,14,121.25,333.10000000000014,642.0999999999999,1173.4749999999974
AL,26,2027-06-27,44,1,3,5,15,130,360,604.05,1085.0249999999944
AL,27,2027-07-04,47,1,3,6,18,134,356.10000000000014,625.3999999999996,1023.724999999996
AL,28,2027-07-11,48,1,3,6,17,145.25,406.40000000000055,722.9499999999991,1362.7749999999958
AL,29,2027-07-18,51,2,3,7,17,140,384.6000000000008,777.05,1323.5249999999971
AL,30,2027-07-25,53,1,3,6,17,142,384.2000000000003,707.5999999999995,1369.1249999999993
AL,31,2027-08-01,49,1,3,6,16,152,377.10000000000014,627.6499999999994,1241.374999999998
AL,32,2027-08-08,48,1,3,6,16,142,390.2000000000003,702.05,1076.2999999999984
AL,33,2027-08-15,47,1,3,5,16,133.25,344.10000000000014,639.1999999999998,1161.0499999999997
AL,34,2027-08-22,47,1,3,6,15,124,331,574.5999999999995,1145.4499999999975
AL,35,2027-08-29,42,1,2,5,14,113.25,302,591.2999999999997,1041
AL,36,2027-09-05,37,1,2,4,13,106.25,292.10000000000014,581.2499999999998,1110.2749999999985
AL,37,2027-09-12,35,1,2,4,11,99,250.10000000000014,543.0999999999999,995.274999999993
AL,38,2027-09-19,29,1,1.9500000000000028,3,11,94,236.3000000000004,451.1999999999998,1058.199999999999
AL,39,2027-09-26,27,1,1,3,10,79.25,227,426.0999999999999,682.0249999999999
AL,40,2027-10-03,24,0,1,3,8,65.25,178.20000000000027,354.1999999999998,748.6749999999963
AL,41,2027-10-10,23,0,1,2.9000000000000057,8,64,168.10000000000014,298.04999999999995,500.1499999999992
AL,42,2027-10-17,19,0,1,2,7,59,138.20000000000027,246.04999999999995,503.1499999999992
AL,43,2027-10-24,17,0,1,2,6,49,133,243.14999999999986,407.3249999999982
AL,44,2027-10-31,16,0,1,2,5,45.25,116.10000000000014,191.0999999999999,373.64999999999645
AL,45,2027-11-07,14,0,1,1,5,38,92,170.04999999999995,273.44999999999754
AL,46,2027-11-14,12,0,0,1,4,34,89,169.04999999999995,290.1249999999993
AL,47,2027-11-21,11,0,0,1,4,31,77,134.04999999999995,219.29999999999836
AL,48,2027-11-28,10,0,0,1,3,27,75,146.0999999999999,261.17499999999905
AL,49,2027-12-05,9,0,0,1,3,26,67,120.04999999999995,218.0749999999996
AL,50,2027-12-12,8,0,0,1,3,25,66,120,188
AL,51,2027-12-19,8,0,0,1,3,23,60,105.04999999999995,195.0749999999996
AL,52,2027-12-26,8,0,0,1,3,23,58.100000000000136,111.09999999999991,194.0749999999996
AM,1,2027-01-03,2,0,0,0,1,5,9,12,18
AM,2,2027-01-10,2,0,0,0,1,5,9,13,19
AM,3,2027-01-17,3,0,0,0,1,5,10,14,20
AM,4,2027-01-24,3,0,0,0,1,6,10,15,21
AM,5,2027-01-31,3,0,0,0,1,6,11,16,23
AM,6,2027-02-07,3,0,0,0,1,7,12,18,27
AM,7,2027-02-14,3,0,0,0,1.75,7,13.100000000000136,19.049999999999955,26
AM,8,2027-02-21,4,0,0,0,2,7,13,19,28
AM,9,2027-02-28,4,0,0,1,2,7,13,19,28
AM,10,2027-03-07,4,0,0,1,2,8,14,20.049999999999955,30
AM,11,2027-03-14,4,0,0,1,2,8,14,21,34
AM,12,2027-03-21,4,0,0,1,2,8,15,21,31
AM,13,2027-03-28,4,0,0,0,2,8,15,23,35
AM,14,2027-04-04,4,0,0,1,2,8,15,22,35
AM,15,2027-04-11,4,0,0,1,2,8,14,21,31.024999999999864
AM,16,2027-04-18,4,0,0,1,2,8,15,21.049999999999955,31.024999999999864
AM,17,2027-04-25,4,0,0,1,2,8,15,22.049999999999955,29
AM,18,2027-05-02,4,0,0,0,2,7,14,19,26.024999999999864
AM,19,2027-05-09,4,0,0,0,1,7,14,22,31
AM,20,2027-05-16,3,0,0,0,1,7,14,19,31
AM,21,2027-05-23,3,0,0,0,1,7,12,18,25.024999999999864
AM,22,2027-05-30,3,0,0,0,1,7,12,18.049999999999955,27
AM,23,2027-06-06,3,0,0,0,1,6,13,19,27
AM,24,2027-06-13,3,0,0,0,1,6,12,18,24
AM,25,2027-06-20,3,0,0,0,1,6,11,17,25
AM,26,2027-06-27,3,0,0,0,1,6,11,16,23
AM,27,2027-07-04,3,0,0,0,1,6,11,17,23
AM,28,2027-07-11,3,0,0,0,1,6,11,16,22
AM,29,2027-07-18,3,0,0,0,1,5,10,15,21
AM,30,2027-07-25,2,0,0,0,1,5,10,15,19
AM,31,2027-08-01,2,0,0,0,1,5,10,15,21
AM,32,2027-08-08,2,0,0,0,1,5,9.100000000000136,15,18.024999999999864
AM,33,2027-08-15,2,0,0,0,1,5,9,13,18
AM,34,2027-08-22,2,0,0,0,1,5,8,12,16.024999999999864
AM,35,2027-08-29,2,0,0,0,1,4,8,12,16
AM,36,2027-09-05,2,0,0,0,1,4,8,11,16
AM,37,2027-09-12,2,0,0,0,1,4,7,10.049999999999955,16
AM,38,2027-09-19,2,0,0,0,1,4,7,11,15
AM,39,2027-09-26,2,0,0,0,1,4,7,10,13
AM,40,2027-10-03,2,0,0,0,1,4,7,10,14
AM,41,2027-10-10,2,0,0,0,0,4,7,10,14
AM,42,2027-10-17,2,0,0,0,1,3,7,11,14
AM,43,2027-10-24,2,0,0,0,0,3,7,10,13
AM,44,2027-10-31,2,0,0,0,0.75,4,7,10,13
AM,45,2027-11-07,2,0,0,0,1,4,7,9,14
AM,46,2027-11-14,2,0,0,0,0,4,7,10,14.024999999999864
AM,47,2027-11-21,2,0,0,0,1,4,7,11,15
AM,48,2027-11-28,2,0,0,0,1,4,7,10,14
AM,49,2027-12-05,2,0,0,0,1,4,7,11,15
AM,50,2027-12-12,2,0,0,0,1,4,7,11,14
AM,51,2027-12-19,2,0,0,0,1,4,7,11,15
AM,52,2027-12-26,2,0,0,0,1,5,9,14,19
AP,1,2027-01-03,1,0,0,0,0,2,5,8,14
