uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2026-10-11,1,0,0,0,0,4,8,12,18
AC,2,2026-10-18,2,0,0,0,0,4,8,12,18
AC,3,2026-10-25,2,0,0,0,0,4,9,13,18
AC,4,2026-11-01,2,0,0,0,0,4,9,14,19
AC,5,2026-11-08,2,0,0,0,0,5,10,15,21
AC,6,2026-11-15,2,0,0,0,0,5,10,14,18.024999999999864
AC,7,2026-11-22,2,0,0,0,0,5,10,15,22
AC,8,2026-11-29,2,0,0,0,1,5,10,16,23.049999999999727
AC,9,2026-12-06,2,0,0,0,1,6,11,16,22.024999999999864
AC,10,2026-12-13,2,0,0,0,1,6,12,17,24
AC,11,2026-12-20,3,0,0,0,1,6,13,20,28
AC,12,2026-12-27,3,0,0,0,1,7,15,22,34
AC,13,2027-01-03,3,0,0,0,1,8,16,22,32
AC,14,2027-01-10,3,0,0,0,1,9,17,25,37
AC,15,2027-01-17,4,0,0,0,1,9,19,30,38
AC,16,2027-01-24,4,0,0,0,1,9,18,26,37
AC,17,2027-01-31,4,0,0,0,2,11,21,31,43
AC,18,2027-02-07,4,0,0,0,1,10,21,30,43
AC,19,2027-02-14,4,0,0,0,1,11,20,31,45
AC,20,2027-02-21,5,0,0,0,2,11,21,31,44
AC,21,2027-02-28,4,0,0,0,2,11,21,31.049999999999955,49
AC,22,2027-03-07,4,0,0,0,1,10,19,28,37
AC,23,2027-03-14,4,0,0,0,1,9,18,26,37
AC,24,2027-03-21,3,0,0,0,1,8,16,24,32
AC,25,2027-03-28,3,0,0,0,1,7,14,21,30.024999999999864
AC,26,2027-04-04,2,0,0,0,1,6,13,19,26
AC,27,2027-04-11,2,0,0,0,1,6,11,16,23
AC,28,2027-04-18,2,0,0,0,1,5,11,16,21
AC,29,2027-04-25,2,0,0,0,0,5,10,15,22
AC,30,2027-05-02,2,0,0,0,0,5,9,14,22
AC,31,2027-05-09,2,0,0,0,0,4,9,14,19
AC,32,2027-05-16,2,0,0,0,0,5,9,13,18.024999999999864
AC,33,2027-05-23,2,0,0,0,0,4,8,12,19
AC,34,2027-05-30,2,0,0,0,0,4,8,12,18
AC,35,2027-06-06,2,0,0,0,0,4,9,12,17
AC,36,2027-06-13,1,0,0,0,0,4,8,12,17
AC,37,2027-06-20,2,0,0,0,0,4,8,13,19
AC,38,2027-06-27,1,0,0,0,0,4,8,11,17
AC,39,2027-07-04,2,0,0,0,0,4,8,12,16
AC,40,2027-07-11,1,0,0,0,0,4,8,12,16.024999999999864
AC,41,2027-07-18,1,0,0,0,0,3,7,11,15.024999999999864
AC,42,2027-07-25,1,0,0,0,0,3,6.100000000000136,10,13.024999999999864
AC,43,2027-08-01,1,0,0,0,0,3,6,10,13
AC,44,2027-08-08,1,0,0,0,0,3,6,9,13
AC,45,2027-08-15,1,0,0,0,0,3,6,8,12
AC,46,2027-08-22,1,0,0,0,0,3,5,8,10
AC,47,2027-08-29,1,0,0,0,0,2,5,7,11.024999999999864
AC,48,2027-09-05,1,0,0,0,0,2,5,8,11.024999999999864
AC,49,2027-09-12,1,0,0,0,0,3,5,8,10
AC,50,2027-09-19,1,0,0,0,0,3,6,8,12
AC,51,2027-09-26,1,0,0,0,0,3,6,9.049999999999955,13.024999999999864
AC,52,2027-10-03,1,0,0,0,0,3,7,10,13
AL,1,2026-10-11,23,0,1,3,8,64,172.10000000000014,321.0999999999999,581.0249999999999
AL,2,2026-10-18,19,0,1,2,6,56,152.10000000000014,264.04999999999995,528.0249999999999
AL,3,2026-10-25,18,0,1,2,6,49,129,276,525
AL,4,2026-11-01,15,0,0,1,5,43,113.10000000000014,212.0999999999999,419.0499999999997
AL,5,2026-11-08,13,0,0,1,4,39,103,197,366.0499999999997
AL,6,2026-11-15,12,0,0,1,4,33,90,167,336
AL,7,2026-11-22,11,0,0,1,4,31,84,151,261.02499999999986
AL,8,2026-11-29,10,0,0,1,3,28,74,138.04999999999995,237.09999999999945
AL,9,2026-12-06,9,0,0,1,3,27,65,122,214.09999999999945
AL,10,2026-12-13,9,0,0,1,3,27,63.20000000000027,116,200.02499999999986
AL,11,2026-12-20,8,0,0,1,3,24,60,121,226.02499999999986
AL,12,2026-12-27,8,0,0,1,3,24.25,67,117,197.04999999999973
AL,13,2027-01-03,9,0,0,1,3,24,64,121.04999999999995,195.02499999999986
AL,14,2027-01-10,9,0,0,1,3,24,59,117,218.09999999999945
AL,15,2027-01-17,9,0,0,1,3,25,65.10000000000014,130.0999999999999,209.0749999999996
AL,16,2027-01-24,9,0,0,1,3,25,69,129,218
AL,17,2027-01-31,10,0,0,1,3,28,78.10000000000014,142.04999999999995,241.14999999999918
AL,18,2027-02-07,10,0,0,1,3,31,79,133,271.02499999999986
AL,19,2027-02-14,10,0,0,1,3,29.25,76.10000000000014,154.14999999999986,269.02499999999986
AL,20,2027-02-21,11,0,0,1,3,32,82,143.0999999999999,253.0749999999996
AL,21,2027-02-28,11,0,0,1,4,35,85,154.0999999999999,310.29999999999836
AL,22,2027-03-07,12,0,0,1,4,36,94,166.29999999999973,308.09999999999945
AL,23,2027-03-14,13,0,1,1,4,37,97,182.04999999999995,286.1249999999993
AL,24,2027-03-21,13,0,0,1,5,37,98.10000000000014,201.19999999999982,370.02499999999986
AL,25,2027-03-28,15,0,0,1,5,45,128,232.04999999999995,367.02499999999986
AL,26,2027-04-04,16,0,1,2,5,46,135.10000000000014,235.14999999999986,416.1249999999993
AL,27,2027-04-11,19,0,1,2,6,55,133,244.29999999999973,462.1249999999993
AL,28,2027-04-18,20,0,1,2,6,60,145,286.04999999999995,494.09999999999945
AL,29,2027-04-25,21,0,1,2,7,62,169.10000000000014,302.04999999999995,562.1999999999989
AL,30,2027-05-02,24,0,1,3,8,68.5,200.10000000000014,336.04999999999995,527.1249999999993
AL,31,2027-05-09,28,1,1,3,9,78.25,194.10000000000014,375.04999999999995,664
AL,32,2027-05-16,30.5,0,1,3,10,83.25,230.20000000000027,431.04999999999995,770.1499999999992
AL,33,2027-05-23,33,1,2,4,11,97,238.10000000000014,430.59999999999945,793.0999999999995
AL,34,2027-05-30,36,1,2,4,11,101,259,476.04999999999995,965.1249999999993
AL,35,2027-06-06,37,1,2,4,12,113,275,478.3499999999997,1021.1249999999993
AL,36,2027-06-13,42,1,2,5,15,123.25,322.2000000000003,583.3999999999996,981.0249999999999
AL,37,2027-06-20,42,1,2,5,14,123,340.10000000000014,619.4499999999996,1010.174999999999
AL,38,2027-06-27,48,1,2.950000000000003,5,17,140.25,392.40000000000055,737,1250.0249999999999
AL,39,2027-07-04,49,1,2.950000000000003,6,17,140,355,630,1225.174999999999
AL,40,2027-07-11,50,1,3,6,17,144,380,691.049999999999,1168.299999999993
AL,41,2027-07-18,53,1,3,7,17.75,151.25,405.40000000000055,729.3499999999997,1284.3249999999982
AL,42,2027-07-25,53,2,3,6,17,143,384.2000000000003,730.099999999999,1282.0499999999997
AL,43,2027-08-01,54,1,3,6,19,141,398.10000000000014,769.5999999999995,1495.274999999993
AL,44,2027-08-08,50,1,3,6,17,143,391.10000000000014,765.3999999999996,1494.924999999995
AL,45,2027-08-15,47,1,2,6,16,133,355.3000000000004,682.2499999999998,1204.2999999999984
AL,46,2027-08-22,45,1,3,5,15,132,365,600.3999999999996,1135.2749999999985
AL,47,2027-08-29,42,1,2,5,15,111,284.10000000000014,493.39999999999964,933.1499999999992
AL,48,2027-09-05,37,1,2,4,13,101,274.2000000000003,488.04999999999995,937.1999999999989
AL,49,2027-09-12,34,1,2,4,12,92,258.2000000000003,470.1999999999998,898.0249999999999
AL,50,2027-09-19,32,1,2,4,11,84,236.10000000000014,420.14999999999986,857.374999999998
AL,51,2027-09-26,27,1,2,3,10,80,210.20000000000027,405.1999999999998,689.4999999999973
AL,52,2027-10-03,25,0,1,3,8,74,187.3000000000004,339.39999999999964,661
AM,1,2026-10-11,2,0,0,0,1,4,7,9.049999999999955,13.024999999999864
AM,2,2026-10-18,2,0,0,0,1,3,7,10,14
AM,3,2026-10-25,2,0,0,0,1,4,7,10,14
AM,4,2026-11-01,2,0,0,0,1,4,6.100000000000136,9,12
AM,5,2026-11-08,2,0,0,0,0,4,7,10,13
AM,6,2026-11-15,2,0,0,0,0.75,4,6,10,14
AM,7,2026-11-22,2,0,0,0,1,4,7,9,13
AM,8,2026-11-29,2,0,0,0,1,4,7,10,15
AM,9,2026-12-06,2,0,0,0,1,4,7,10,14.024999999999864
AM,10,2026-12-13,2,0,0,0,1,4,8,11,15
AM,11,2026-12-20,2,0,0,0,1,4,8,11,14
AM,12,2026-12-27,2,0,0,0,1,4,8,12,17
AM,13,2027-01-03,2,0,0,0,1,5,9,12,18
AM,14,2027-01-10,2,0,0,0,1,5,9,13,17
AM,15,2027-01-17,3,0,0,0,1,6,10,15,23
