uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2027-01-03,185,25,37,54,99,334,587.1000000000001,791.0999999999999,1007.174999999999
AC,2,2027-01-10,205,27.975,38,57,108,363,607,871.1499999999999,1171.3249999999982
AC,3,2027-01-17,220,28,41,59,113.75,400,661,946.1499999999999,1147.0749999999996
AC,4,2027-01-24,220,28.975,41.95,65,113,390.5,709.1000000000001,958.0999999999999,1303.5749999999969
AC,5,2027-01-31,219,27,42,64,118,396.25,680.2000000000003,981.05,1364.2749999999985
AC,6,2027-02-07,208,28,39,61,111,387.25,692.1000000000001,939.2499999999998,1262.0999999999995
AC,7,2027-02-14,198,29,40.95,58,106,372.25,657,904.1499999999999,1210.1249999999993
AC,8,2027-02-21,181.5,25.975,38,50,96.75,332.25,584,785.05,953
AC,9,2027-02-28,166,19,30,45,86,299,505,742.1999999999998,993.3499999999981
AC,10,2027-03-07,150,18.975,27,43,78.75,270.25,464.2000000000003,626,874.2999999999984
AC,11,2027-03-14,129.5,17.975,27,38,69,241,419.10000000000014,565.3999999999996,784.174999999999
AC,12,2027-03-21,113,16.975,22,33,59,205,366.10000000000014,493.04999999999995,659.0249999999999
AC,13,2027-03-28,102.5,14,19,29.900000000000006,56,187,324.10000000000014,449.0999999999999,629.1499999999992
AC,14,2027-04-04,93,12,17.950000000000003,27,51,165,287,392.04999999999995,516.0499999999997
AC,15,2027-04-11,84,12,16,24,45,152,260.10000000000014,366.0999999999999,509.1499999999992
AC,16,2027-04-18,75,10,15,21,41,138,233.20000000000027,324.0999999999999,440.0499999999997
AC,17,2027-04-25,70,9,13,20,38,132,229,307,418.02499999999986
AC,18,2027-05-02,66,8,13,19,34,125,210.10000000000014,285.0999999999999,375.1249999999993
AC,19,2027-05-09,59,8,12,17,31,110,198,276,343.02499999999986
AC,20,2027-05-16,55,6,9,15,28,102,169.10000000000014,229,302.02499999999986
AC,21,2027-05-23,49,6,9,14,26,89,149,209.0999999999999,294.0499999999997
AC,22,2027-05-30,43,5,8,13,24,83,139.20000000000027,187.04999999999995,274
AC,23,2027-06-06,40,4.975000000000001,7,11,20,72,124,166.04999999999995,229
AC,24,2027-06-13,33,4,6,10,17,62,108.10000000000014,156.04999999999995,201.02499999999986
AC,25,2027-06-20,31,3,5,8,16,54,95.10000000000014,135.04999999999995,192.14999999999918
AC,26,2027-06-27,28,3,5,7,15,52,87,117,162.02499999999986
AC,27,2027-07-04,25,3,4,7,13,48,82,112.09999999999991,152.04999999999973
AC,28,2027-07-11,25,3,4,6,13,44,72.10000000000014,105,141
AC,29,2027-07-18,22,2,3,6,12,42,73,106.09999999999991,147.02499999999986
AC,30,2027-07-25,21,2,4,6,11,40,68,97.04999999999995,141.02499999999986
AC,31,2027-08-01,22,2,3,5,11,39,68,93.04999999999995,125
AC,32,2027-08-08,20,2,3,5,10,38,65,92.04999999999995,126.04999999999973
AC,33,2027-08-15,20,2,3,5,11,36.25,65,86,112.07499999999959
AC,34,2027-08-22,20,2,3,5,10,37,63,87.04999999999995,124
AC,35,2027-08-29,21,2,3,6,11,40,69,96,127
AC,36,2027-09-05,23,3,4,7,12,43,71,102,140
AC,37,2027-09-12,25,3,4,7,13,46,80,104,139.04999999999973
AC,38,2027-09-19,29,3,5,8,15,53,92,128.04999999999995,163.0749999999996
AC,39,2027-09-26,34,4,6,10,17,60,107.10000000000014,152,189.0749999999996
AC,40,2027-10-03,38,4,7,10,19.75,69,120.10000000000014,167.04999999999995,232.02499999999986
AC,41,2027-10-10,46,5,8,12.900000000000006,24,83,145.10000000000014,207.04999999999995,276.02499999999986
AC,42,2027-10-17,54,7,10,15,28,100.25,170,230.14999999999986,307.0499999999997
AC,43,2027-10-24,62,8,11,17,33,117,192,266.04999999999995,381.1249999999993
AC,44,2027-10-31,75.5,10.975000000000001,15,21,40,137,241.10000000000014,335,430.1249999999993
AC,45,2027-11-07,84,11,16,23,42,164,294.10000000000014,390.04999999999995,522.0499999999997
AC,46,2027-11-14,99,11,19,28,51,185,308.10000000000014,441.0999999999999,568.0749999999996
AC,47,2027-11-21,111,13,19.950000000000003,31,59.75,204,362.3000000000004,527.05,670.2999999999984
AC,48,2027-11-28,123,17,24,38,67,237,401.2000000000003,571.1499999999999,798.0249999999999
AC,49,2027-12-05,142,19.975,28,40.900000000000006,77,259.25,465,652.2499999999998,886.0749999999996
AC,50,2027-12-12,154,20,28,41,83,289,489.10000000000014,692.3499999999997,920.4249999999977
AC,51,2027-12-19,169,22,30.950000000000003,43,84,304,518,742.05,956.174999999999
AC,52,2027-12-26,171.5,25.975,33,50,90,319,542.1000000000001,743.05,929.2499999999986
AL,1,2027-01-03,53,6,8,12,26,107,222,359,508.0499999999997
AL,2,2027-01-10,57,6,9.950000000000003,15,28.75,120,221.10000000000014,337,541.0499999999997
AL,3,2027-01-17,62,7,9,14,28,122,235.10000000000014,354.04999999999995,505.17499999999905
AL,4,2027-01-24,65,7,10,15,31,134,269,392.04999999999995,578.0749999999996
AL,5,2027-01-31,68,7,12,16,33.75,145,288,407.0999999999999,583.3499999999981
AL,6,2027-02-07,75,7,12,18,36,153,304.3000000000004,486.14999999999986,734.0999999999995
AL,7,2027-02-14,81,8,13,20,40,162,326,506.2499999999998,731.4499999999975
AL,8,2027-02-21,93,9.975000000000001,14,22,46,191,336.2000000000003,533,786.1249999999993
AL,9,2027-02-28,94,10,15,24,46,200.25,372,564.3999999999996,824.2999999999984
AL,10,2027-03-07,104,11,16.950000000000003,26,52,218.25,422.3000000000004,640.1999999999998,949.174999999999
AL,11,2027-03-14,111,13,20,28,55,233.25,454,676.05,990.0749999999996
AL,12,2027-03-21,127,13,21,31,60,251,513.1000000000001,747.05,1113.0249999999999
AL,13,2027-03-28,131,15,22,35,65,263,519.1000000000001,797,1156.2749999999985
AL,14,2027-04-04,148,16,23,36,74,296,583.1000000000001,949.0999999999999,1275.4249999999977
AL,15,2027-04-11,161,18,26,39,79,325,609.4000000000005,938.05,1465.2999999999984
AL,16,2027-04-18,179,21,28,42.900000000000006,83,349.25,705.5000000000007,1073,1608.549999999997
AL,17,2027-04-25,184,22,31,50,90.75,389,733,1094.2999999999997,1787.3999999999978
AL,18,2027-05-02,205,24.975,34.95,50,100.75,451.25,859.1000000000001,1270.1,1763.1249999999993
AL,19,2027-05-09,229,25,37,58,111,447.5,875.6000000000008,1382.1499999999999,1991.0249999999944
AL,20,2027-05-16,232.5,25,40,60,113,480,958.5000000000007,1436.2499999999998,2143.9749999999945
AL,21,2027-05-23,253,29,41,65,124,505.5,998,1453.4499999999996,2139.174999999999
AL,22,2027-05-30,270,32,43,66,126,550,991.6000000000008,1544.1499999999999,2397.424999999998
AL,23,2027-06-06,264,33,46.95,68,130,525.25,1046.5000000000007,1554.4999999999995,2216.4749999999976
AL,24,2027-06-13,266.5,34,47,71,131,574.5,1114.3000000000004,1655.1,2470.2249999999985
AL,25,2027-06-20,278,30,45,72,131.75,584,1080.3000000000004,1603.1499999999999,2365.1749999999993
AL,26,2027-06-27,280.5,36.975,49,71,138,584,1052,1621.4499999999996,2367.2749999999983
AL,27,2027-07-04,263,32,48,73,133,538,1033.800000000001,1554.1999999999998,2150.0999999999995
