uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2026-10-11,46,5,8,12,23,88,152,220.04999999999995,292.0499999999997
AC,2,2026-10-18,55,7,10,14,28.75,102,170.10000000000014,236.0999999999999,342.02499999999986
AC,3,2026-10-25,63,8,12,18,32,118,203,286.2999999999997,374.09999999999945
AC,4,2026-11-01,72,10,14,20,38.75,137,233,321.2499999999998,441.02499999999986
AC,5,2026-11-08,86,11,16,24,48,166,282,402.2499999999998,536.0499999999997
AC,6,2026-11-15,99.5,14,18,27,51,181,328,453.04999999999995,617.0999999999995
AC,7,2026-11-22,112,16,24,34,60,214.25,366.10000000000014,515.05,702.374999999998
AC,8,2026-11-29,136,16,24.950000000000003,37,71,250,426.2000000000003,610.1499999999999,771.1249999999993
AC,9,2026-12-06,144,20.975,29,41,77,260,456.3000000000004,653.1999999999998,882.0249999999999
AC,10,2026-12-13,153,22,31,44,82,290,510.10000000000014,706.0999999999999,928.1999999999989
AC,11,2026-12-20,160,23,32,46,87,296.25,515.1000000000001,741.05,985.2499999999986
AC,12,2026-12-27,179,27,36,52,92,326.25,556,808.9499999999991,1169.8749999999952
AC,13,2027-01-03,191,27.975,36,54,102,352,587,878.05,1239.6499999999965
AC,14,2027-01-10,207,28,40.95,61,108,390,675.4000000000005,909.1999999999998,1206.0999999999995
AC,15,2027-01-17,213.5,31,40.95,60.900000000000006,113,403,681.1000000000001,1026.1499999999999,1393.3999999999978
AC,16,2027-01-24,219.5,29.975,43.95,63,112.75,425.25,760.4000000000005,1068.2499999999998,1386.1249999999993
AC,17,2027-01-31,215,30,42,64,117,409.5,714.2000000000003,1036.1499999999999,1384.3249999999982
AC,18,2027-02-07,210,29,40,58,109,396,702,954.2499999999998,1317.2249999999879
AC,19,2027-02-14,198,29,38,58,103,375,644.2000000000003,933.0999999999999,1246.3249999999982
AC,20,2027-02-21,189,26,37,53,96,350,609.4000000000005,858.05,1115.4749999999974
AC,21,2027-02-28,171.5,22,33,49,89,313,546.2000000000003,799.0999999999999,1067.0749999999996
AC,22,2027-03-07,155,19,27,41.900000000000006,81,280,492.2000000000003,738.0999999999999,988.2749999999985
AC,23,2027-03-14,130,18,26,38,68,247.25,424.2000000000003,644.1499999999999,878.2249999999988
AC,24,2027-03-21,119,17,23,34,62.75,215.25,378.10000000000014,554.2999999999997,774.0249999999999
AC,25,2027-03-28,108,13,19,30,59,192,344,489.04999999999995,676.0749999999996
AC,26,2027-04-04,97,12.975000000000001,18.950000000000003,27,50,178,306,436.1999999999998,534.1499999999992
AC,27,2027-04-11,87.5,10,14,23,43,166,294,426,563.1999999999989
AC,28,2027-04-18,80,11,15,23,41,153.25,277.10000000000014,390.04999999999995,513.0749999999996
AC,29,2027-04-25,73,8.975000000000001,14,21,38,140,237.10000000000014,309.0999999999999,471.09999999999945
AC,30,2027-05-02,64,8,13,19,35,128,215,301.04999999999995,415.02499999999986
AC,31,2027-05-09,62,7.975000000000001,12,17,32,118,205.10000000000014,289.0999999999999,421.0499999999997
AC,32,2027-05-16,55,8,10,16,28,104,186,274.04999999999995,394
AC,33,2027-05-23,51,7,9,14,26,96,163.10000000000014,230.0999999999999,317.02499999999986
AC,34,2027-05-30,47,6,8,13,23,88,155,218,299
AC,35,2027-06-06,40,5,7,11,20,76.25,128.10000000000014,184,251.09999999999945
AC,36,2027-06-13,35,4,6,9,18,64,113,165.04999999999995,221
AC,37,2027-06-20,31,3.9750000000000014,5,9,16,60,103.10000000000014,143.0999999999999,187.04999999999973
AC,38,2027-06-27,28,3,5,7,14,56,98,134,181.02499999999986
AC,39,2027-07-04,27,2.9750000000000014,4,7,14,51,88.10000000000014,128.0999999999999,166.02499999999986
AC,40,2027-07-11,25,2,4,6,12,46,77,112,157
AC,41,2027-07-18,24,2,4,6,13,44,79,110.04999999999995,156
AC,42,2027-07-25,23,2,4,6,12,42,73.10000000000014,103,138.02499999999986
AC,43,2027-08-01,22,2,3,6,11,41,70,97,133
AC,44,2027-08-08,22,2,4,6,11,40,71,97,129.0749999999996
AC,45,2027-08-15,21,2,4,6,11,40,67,94,129.02499999999986
AC,46,2027-08-22,21,2,3,6,11,39,72,100,135.02499999999986
AC,47,2027-08-29,21,2,4,6,11,40,73,101,137.12499999999932
AC,48,2027-09-05,23,2,4,6.900000000000006,12,44,75,102,139
AC,49,2027-09-12,26,3,5,8,14,48,86,114.04999999999995,152.02499999999986
AC,50,2027-09-19,29,3,5,8,15,56,97.10000000000014,134.0999999999999,184
AC,51,2027-09-26,34,4,6,9,17,64,106.10000000000014,144.0999999999999,213.0749999999996
