uf,week,date,pred,lower_95,lower_90,lower_80,lower_50,upper_50,upper_80,upper_90,upper_95
AC,1,2027-01-03,190,25,35,52,99,353,626.4000000000005,892,1190.1249999999993
AC,2,2027-01-10,210,29,39,58,111,377.25,674.3000000000004,981.1999999999998,1206.1249999999993
AC,3,2027-01-17,215,29,39,58,112,404.25,715.1000000000001,1036.5499999999995,1326.2749999999985
AC,4,2027-01-24,227,26.975,39,62,116,439,741.2000000000003,1043.1499999999999,1461.1499999999992
AC,5,2027-01-31,227,31,43.95,64,118,429,746.1000000000001,1063.7999999999993,1377.5999999999967
AC,6,2027-02-07,215.5,26,39,60.900000000000006,112,409.25,720.1000000000001,1010.05,1388.8249999999955
AC,7,2027-02-14,201.5,25,41,59,105,377,654,929.05,1322.899999999995
AC,8,2027-02-21,191,23,34,54,99,353,605,846.2499999999998,1115.1499999999992
AC,9,2027-02-28,175.5,20,30,48,89,316,564,746.0999999999999,1072
AC,10,2027-03-07,149,20.975,27,40.900000000000006,77,290,504,683.0999999999999,921.0499999999997
AC,11,2027-03-14,135.5,17,24,36,68,241,436.2000000000003,621.1499999999999,985.0249999999999
AC,12,2027-03-21,122,14,21,32,65,230.25,412.2000000000003,566,755.1249999999993
AC,13,2027-03-28,101,13,21,31,55,198,354,485.14999999999986,661.2249999999988
AC,14,2027-04-04,93,11,16,24,48,176.25,315,428,663.0999999999995
AC,15,2027-04-11,82,9,14,21,44,163,283.10000000000014,411.04999999999995,531.174999999999
AC,16,2027-04-18,79,8,13,21,39,148,254,364.0999999999999,475.3999999999978
AC,17,2027-04-25,67,8,13,19,35,133,241.10000000000014,341,464.1249999999993
AC,18,2027-05-02,62,7,10,15,31,116,197.10000000000014,293.04999999999995,428.02499999999986
AC,19,2027-05-09,58,6,10,15,29,109,193,278.0999999999999,361.02499999999986
AC,20,2027-05-16,49,6,8,13,26,97,173.10000000000014,250.04999999999995,337.02499999999986
AC,21,2027-05-23,45,5,8,12,23,85.25,151,209.04999999999995,284.02499999999986
AC,22,2027-05-30,38,4,7,11,20,72,136.10000000000014,186,248.12499999999932
